NextcladeResultID,frameShifts,aaSubstitutions,aaDeletions,aaInsertions,alignmentScore,clade,Nextclade_pango,substitutions,deletions,insertions,missing,nonACGTNs,pcrPrimerChanges,qc.mixedSites.totalMixedSites,qc.overallScore,qc.overallStatus,qc.frameShifts.status,qc.frameShifts.frameShiftsIgnored,NextcladeVersion,ConsensusID,IsCurrent,TimestampCreated,TimestampUpdated
Nextclade-237631,,,,,89565,20B,AD.2,,,,,,,1,14,good,,,nextclade 2.4.0,Consensus-654859,1,2025-02-03 14:08:37.994009,2025-02-03 14:08:37.994010
Nextclade-199459,,,,,88337,21L (Omicron),BA.2,,,,,,,1,3,good,,,nextclade 2.4.0,Consensus-914993,1,2025-02-03 14:08:37.994531,2025-02-03 14:08:37.994532
Nextclade-246111,,,,,89176,,,,,,,,,0,12,good,,,nextclade 2.6.0,Consensus-882682,1,2025-02-03 14:08:37.995065,2025-02-03 14:08:37.995066
Nextclade-208162,,,,,89513,20I (Alpha; V1),B.1.1.7,,,,,,,0,19,good,,,nextclade 2.5.0,Consensus-106258,1,2025-02-03 14:08:37.995596,2025-02-03 14:08:37.995597
Nextclade-177825,,,,,89608,20I (Alpha; V1),Q.4,,,,,,,7,12,good,,,nextclade 2.6.0,Consensus-246325,1,2025-02-03 14:08:37.996129,2025-02-03 14:08:37.996130
Nextclade-097822,,,,,87862,,,,,,,,,0,5,good,,,nextclade 2.5.0,Consensus-719552,1,2025-02-03 14:08:37.996674,2025-02-03 14:08:37.996675
Nextclade-736765,,,,,87883,21L (Omicron),BA.2,,,,,,,2,15,good,,,nextclade 2.6.0,Consensus-160344,1,2025-02-03 14:08:37.997199,2025-02-03 14:08:37.997200
Nextclade-239353,,,,,88843,21L (Omicron),BA.2,,,,,,,0,26,good,,,nextclade 2.4.0,Consensus-372743,1,2025-02-03 14:08:37.997720,2025-02-03 14:08:37.997721
Nextclade-519879,,,,,88992,20E (EU1),B.1.177.12,,,,,,,1,9,good,,,nextclade 2.6.0,Consensus-777012,1,2025-02-03 14:08:37.998251,2025-02-03 14:08:37.998252
Nextclade-275493,,,,,89276,20A,B.1.258,,,,,,,1,22,good,,,nextclade 2.5.0,Consensus-334164,1,2025-02-03 14:08:37.998773,2025-02-03 14:08:37.998774
Nextclade-157843,,,,,89588,,,,,,,,,1,83,mediocre,,,nextclade 2.5.0,Consensus-361447,1,2025-02-03 14:08:37.999302,2025-02-03 14:08:37.999303
Nextclade-972544,,,,,89097,21L (Omicron),BA.2,,,,,,,0,37,mediocre,,,nextclade 2.5.0,Consensus-452555,1,2025-02-03 14:08:37.999830,2025-02-03 14:08:37.999831
Nextclade-446610,,,,,88597,21L (Omicron),BA.2,,,,,,,3,26,good,,,nextclade 2.4.0,Consensus-244741,1,2025-02-03 14:08:38.000353,2025-02-03 14:08:38.000354
Nextclade-349826,,,,,88283,21J (Delta),AY.46,,,,,,,0,18,good,,,nextclade 2.6.0,Consensus-513461,1,2025-02-03 14:08:38.000889,2025-02-03 14:08:38.000891
Nextclade-625134,,,,,88968,21K (Omicron),BA.1,,,,,,,0,6,good,,,nextclade 2.5.0,Consensus-107014,1,2025-02-03 14:08:38.001426,2025-02-03 14:08:38.001427
Nextclade-843507,,,,,88211,20I (Alpha; V1),B.1.1.7,,,,,,,2,14,good,,,nextclade 2.4.0,Consensus-879857,1,2025-02-03 14:08:38.001947,2025-02-03 14:08:38.001948
Nextclade-203807,,,,,88156,20I (Alpha; V1),B.1.1.7,,,,,,,1,16862,bad,,,nextclade 2.6.0,Consensus-129009,1,2025-02-03 14:08:38.002469,2025-02-03 14:08:38.002471
Nextclade-263602,,,,,89153,21L (Omicron),BA.2,,,,,,,0,7,good,,,nextclade 2.6.0,Consensus-073349,1,2025-02-03 14:08:38.003059,2025-02-03 14:08:38.003060
Nextclade-647304,,,,,87929,21K (Omicron),BA.1,,,,,,,4,80,mediocre,,,nextclade 2.5.0,Consensus-797834,1,2025-02-03 14:08:38.003608,2025-02-03 14:08:38.003610
Nextclade-263280,,,,,88485,21L (Omicron),BA.2,,,,,,,0,12,good,,,nextclade 2.4.0,Consensus-906226,1,2025-02-03 14:08:38.004144,2025-02-03 14:08:38.004145
Nextclade-575369,,,,,89148,21J (Delta),B.1.617.2,,,,,,,1,10,good,,,nextclade 2.6.0,Consensus-184946,1,2025-02-03 14:08:38.004681,2025-02-03 14:08:38.004682
Nextclade-519439,,,,,89424,21J (Delta),AY.46.6,,,,,,,3,19,good,,,nextclade 2.5.0,Consensus-867863,1,2025-02-03 14:08:38.005223,2025-02-03 14:08:38.005224
Nextclade-791927,,,,,89198,21J (Delta),AY.4,,,,,,,1,16,good,,,nextclade 2.6.0,Consensus-780861,1,2025-02-03 14:08:38.005752,2025-02-03 14:08:38.005753
Nextclade-456090,,,,,89199,21J (Delta),AY.122,,,,,,,1,24,good,,,nextclade 2.6.0,Consensus-454956,1,2025-02-03 14:08:38.006282,2025-02-03 14:08:38.006283
Nextclade-755883,,,,,87909,21J (Delta),AY.7.1,,,,,,,1,50,mediocre,,,nextclade 2.5.0,Consensus-216853,1,2025-02-03 14:08:38.006811,2025-02-03 14:08:38.006812
Nextclade-453748,,,,,89269,21J (Delta),AY.43,,,,,,,0,11,good,,,nextclade 2.6.0,Consensus-647712,1,2025-02-03 14:08:38.007342,2025-02-03 14:08:38.007343
Nextclade-468280,,,,,88753,,,,,,,,,0,12,good,,,nextclade 2.5.0,Consensus-522930,1,2025-02-03 14:08:38.007882,2025-02-03 14:08:38.007883
Nextclade-709356,,,,,88044,21J (Delta),AY.43,,,,,,,0,10,good,,,nextclade 2.5.0,Consensus-311393,1,2025-02-03 14:08:38.008408,2025-02-03 14:08:38.008409
Nextclade-385801,,,,,88857,21J (Delta),AY.122.6,,,,,,,16,3,good,,,nextclade 2.6.0,Consensus-267032,1,2025-02-03 14:08:38.008941,2025-02-03 14:08:38.008942
Nextclade-381467,,,,,89526,21J (Delta),AY.4,,,,,,,0,14,good,,,nextclade 2.5.0,Consensus-726099,1,2025-02-03 14:08:38.009483,2025-02-03 14:08:38.009484
Nextclade-901470,,,,,88494,21J (Delta),AY.122.3,,,,,,,0,23,good,,,nextclade 2.5.0,Consensus-377976,1,2025-02-03 14:08:38.010029,2025-02-03 14:08:38.010030
Nextclade-481939,,,,,88682,21J (Delta),AY.4.6,,,,,,,1,60,mediocre,,,nextclade 2.5.0,Consensus-389231,1,2025-02-03 14:08:38.010573,2025-02-03 14:08:38.010574
Nextclade-680476,,,,,88968,20I (Alpha; V1),B.1.1.7,,,,,,,0,14,good,,,nextclade 2.4.0,Consensus-625714,1,2025-02-03 14:08:38.011102,2025-02-03 14:08:38.011103
Nextclade-432537,,,,,88242,21J (Delta),AY.129,,,,,,,1,8,good,,,nextclade 2.6.0,Consensus-312530,1,2025-02-03 14:08:38.011641,2025-02-03 14:08:38.011642
Nextclade-574980,,,,,88114,,,,,,,,,0,21,good,,,nextclade 2.4.0,Consensus-892907,1,2025-02-03 14:08:38.012178,2025-02-03 14:08:38.012179
Nextclade-781063,,,,,88978,,,,,,,,,2,18,good,,,nextclade 2.4.0,Consensus-938176,1,2025-02-03 14:08:38.012725,2025-02-03 14:08:38.012726
Nextclade-553666,,,,,88998,20I (Alpha; V1),B.1.1.7,,,,,,,1,20154,bad,,,nextclade 2.4.0,Consensus-607313,1,2025-02-03 14:08:38.013258,2025-02-03 14:08:38.013259
Nextclade-890067,,,,,87844,20I (Alpha; V1),B.1.1.7,,,,,,,0,6,good,,,nextclade 2.5.0,Consensus-076766,1,2025-02-03 14:08:38.013785,2025-02-03 14:08:38.013787
Nextclade-282935,,,,,88647,21J (Delta),AY.4,,,,,,,0,22,good,,,nextclade 2.4.0,Consensus-337025,1,2025-02-03 14:08:38.014314,2025-02-03 14:08:38.014315
Nextclade-801999,,,,,89006,,,,,,,,,0,22,good,,,nextclade 2.4.0,Consensus-741162,1,2025-02-03 14:08:38.014848,2025-02-03 14:08:38.014850
Nextclade-561901,,,,,89119,,,,,,,,,0,10,good,,,nextclade 2.4.0,Consensus-323455,1,2025-02-03 14:08:38.015387,2025-02-03 14:08:38.015388
Nextclade-274533,,,,,88780,,,,,,,,,1,7441,bad,,,nextclade 2.4.0,Consensus-530356,1,2025-02-03 14:08:38.015926,2025-02-03 14:08:38.015927
Nextclade-622928,,,,,89566,21J (Delta),AY.126,,,,,,,0,25,good,,,nextclade 2.5.0,Consensus-121939,1,2025-02-03 14:08:38.016456,2025-02-03 14:08:38.016458
Nextclade-650536,,,,,88994,21J (Delta),AY.122,,,,,,,0,3,good,,,nextclade 2.5.0,Consensus-475531,1,2025-02-03 14:08:38.016993,2025-02-03 14:08:38.016994
Nextclade-465461,,,,,88668,20I (Alpha; V1),B.1.1.7,,,,,,,0,8,good,,,nextclade 2.4.0,Consensus-780751,1,2025-02-03 14:08:38.017536,2025-02-03 14:08:38.017537
Nextclade-226306,,,,,88685,20I (Alpha; V1),B.1.1.7,,,,,,,5,12,good,,,nextclade 2.6.0,Consensus-977211,1,2025-02-03 14:08:38.018071,2025-02-03 14:08:38.018073
Nextclade-365204,,,,,89446,20I (Alpha; V1),B.1.1.7,,,,,,,0,88,mediocre,,,nextclade 2.5.0,Consensus-812009,1,2025-02-03 14:08:38.018604,2025-02-03 14:08:38.018606
Nextclade-544972,,,,,88799,20I (Alpha; V1),B.1.1.7,,,,,,,1,78,mediocre,,,nextclade 2.6.0,Consensus-792355,1,2025-02-03 14:08:38.019143,2025-02-03 14:08:38.019144
Nextclade-065287,,,,,89686,20A,B.1.160,,,,,,,0,84,mediocre,,,nextclade 2.4.0,Consensus-916976,1,2025-02-03 14:08:38.019696,2025-02-03 14:08:38.019698
Nextclade-061308,,,,,88902,21L (Omicron),BA.2.9,,,,,,,0,32,mediocre,,,nextclade 2.5.0,Consensus-919622,1,2025-02-03 14:08:38.020251,2025-02-03 14:08:38.020252
Nextclade-929438,,,,,89118,21J (Delta),AY.4,,,,,,,3,6,good,,,nextclade 2.5.0,Consensus-142620,1,2025-02-03 14:08:38.020854,2025-02-03 14:08:38.020856
Nextclade-456230,,,,,88256,20I (Alpha; V1),B.1.1.7,,,,,,,0,13,good,,,nextclade 2.5.0,Consensus-472598,1,2025-02-03 14:08:38.021380,2025-02-03 14:08:38.021381
Nextclade-288782,,,,,89665,21J (Delta),AY.4.2,,,,,,,0,27,good,,,nextclade 2.4.0,Consensus-390961,1,2025-02-03 14:08:38.021902,2025-02-03 14:08:38.021903
Nextclade-317375,,,,,89634,21J (Delta),AY.46,,,,,,,2,2,good,,,nextclade 2.4.0,Consensus-775514,1,2025-02-03 14:08:38.022426,2025-02-03 14:08:38.022427
Nextclade-710047,,,,,89206,,,,,,,,,1,3,good,,,nextclade 2.5.0,Consensus-394851,1,2025-02-03 14:08:38.022971,2025-02-03 14:08:38.022972
Nextclade-022026,,,,,88680,,,,,,,,,0,6,good,,,nextclade 2.5.0,Consensus-637853,1,2025-02-03 14:08:38.023501,2025-02-03 14:08:38.023502
Nextclade-450217,,,,,88312,21L (Omicron),BA.2.9,,,,,,,40,11,good,,,nextclade 2.4.0,Consensus-936372,1,2025-02-03 14:08:38.024026,2025-02-03 14:08:38.024027
Nextclade-788991,,,,,87915,21J (Delta),AY.124.1,,,,,,,1,26,good,,,nextclade 2.5.0,Consensus-932454,1,2025-02-03 14:08:38.024537,2025-02-03 14:08:38.024538
Nextclade-172849,,,,,89117,21K (Omicron),BA.1.14,,,,,,,0,13,good,,,nextclade 2.6.0,Consensus-413616,1,2025-02-03 14:08:38.025069,2025-02-03 14:08:38.025070
Nextclade-117296,,,,,88702,,,,,,,,,0,5,good,,,nextclade 2.6.0,Consensus-495338,1,2025-02-03 14:08:38.025602,2025-02-03 14:08:38.025603
Nextclade-387528,,,,,87983,20E (EU1),B.1.177.21,,,,,,,0,4,good,,,nextclade 2.6.0,Consensus-050085,1,2025-02-03 14:08:38.026129,2025-02-03 14:08:38.026130
Nextclade-724244,,,,,88295,21L (Omicron),BA.2.9,,,,,,,0,28,good,,,nextclade 2.6.0,Consensus-435291,1,2025-02-03 14:08:38.026640,2025-02-03 14:08:38.026641
Nextclade-291934,,,,,89542,21L (Omicron),BA.2,,,,,,,0,65,mediocre,,,nextclade 2.5.0,Consensus-217400,1,2025-02-03 14:08:38.027155,2025-02-03 14:08:38.027157
Nextclade-670928,,,,,88273,21J (Delta),AY.127,,,,,,,0,13,good,,,nextclade 2.5.0,Consensus-665149,1,2025-02-03 14:08:38.027666,2025-02-03 14:08:38.027667
Nextclade-562532,,,,,89054,21L (Omicron),BA.2,,,,,,,0,10,good,,,nextclade 2.4.0,Consensus-613138,1,2025-02-03 14:08:38.028175,2025-02-03 14:08:38.028176
Nextclade-326145,,,,,89390,21L (Omicron),BA.2,,,,,,,5,65,mediocre,,,nextclade 2.4.0,Consensus-809956,1,2025-02-03 14:08:38.028694,2025-02-03 14:08:38.028696
Nextclade-722893,,,,,88427,21J (Delta),AY.122,,,,,,,3,2,good,,,nextclade 2.5.0,Consensus-667376,1,2025-02-03 14:08:38.029210,2025-02-03 14:08:38.029211
Nextclade-514789,,,,,89655,20I (Alpha; V1),B.1.1.7,,,,,,,0,18,good,,,nextclade 2.6.0,Consensus-158611,1,2025-02-03 14:08:38.029724,2025-02-03 14:08:38.029726
Nextclade-587375,,,,,88748,21J (Delta),AY.4,,,,,,,0,16,good,,,nextclade 2.4.0,Consensus-414266,1,2025-02-03 14:08:38.030239,2025-02-03 14:08:38.030240
Nextclade-074990,,,,,87959,21J (Delta),AY.4,,,,,,,0,66,mediocre,,,nextclade 2.5.0,Consensus-915860,1,2025-02-03 14:08:38.030755,2025-02-03 14:08:38.030756
Nextclade-453291,,,,,88585,21J (Delta),AY.43,,,,,,,0,11,good,,,nextclade 2.4.0,Consensus-136999,1,2025-02-03 14:08:38.031269,2025-02-03 14:08:38.031270
Nextclade-769132,,,,,88003,21J (Delta),AY.7.1,,,,,,,0,18,good,,,nextclade 2.4.0,Consensus-452208,1,2025-02-03 14:08:38.031781,2025-02-03 14:08:38.031782
Nextclade-367213,,,,,89180,recombinant,XH,,,,,,,0,6,good,,,nextclade 2.6.0,Consensus-080708,1,2025-02-03 14:08:38.032289,2025-02-03 14:08:38.032290
Nextclade-350511,,,,,88933,21K (Omicron),BA.1.1,,,,,,,0,15,good,,,nextclade 2.5.0,Consensus-435375,1,2025-02-03 14:08:38.032800,2025-02-03 14:08:38.032801
Nextclade-734718,,,,,89397,21K (Omicron),BA.1.17.2,,,,,,,1,50,mediocre,,,nextclade 2.4.0,Consensus-121234,1,2025-02-03 14:08:38.033329,2025-02-03 14:08:38.033330
Nextclade-322339,,,,,87847,21J (Delta),AY.43,,,,,,,0,43,mediocre,,,nextclade 2.5.0,Consensus-526066,1,2025-02-03 14:08:38.033862,2025-02-03 14:08:38.033863
Nextclade-365589,,,,,89314,20A,B.1.160,,,,,,,0,0,good,,,nextclade 2.6.0,Consensus-606682,1,2025-02-03 14:08:38.034373,2025-02-03 14:08:38.034374
Nextclade-953301,,,,,88000,21L (Omicron),BA.2,,,,,,,0,54,mediocre,,,nextclade 2.5.0,Consensus-112812,1,2025-02-03 14:08:38.034880,2025-02-03 14:08:38.034881
Nextclade-825227,,,,,88495,,,,,,,,,2,13,good,,,nextclade 2.6.0,Consensus-525637,1,2025-02-03 14:08:38.035396,2025-02-03 14:08:38.035397
Nextclade-941923,,,,,89560,21J (Delta),B.1.617.2,,,,,,,0,11,good,,,nextclade 2.6.0,Consensus-520267,1,2025-02-03 14:08:38.035910,2025-02-03 14:08:38.035911
Nextclade-121274,,,,,89319,20I (Alpha; V1),B.1.1.7,,,,,,,0,27,good,,,nextclade 2.4.0,Consensus-665669,1,2025-02-03 14:08:38.036440,2025-02-03 14:08:38.036442
Nextclade-458549,,,,,89592,20I (Alpha; V1),B.1.1.7,,,,,,,0,74,mediocre,,,nextclade 2.6.0,Consensus-921902,1,2025-02-03 14:08:38.036975,2025-02-03 14:08:38.036976
Nextclade-956753,,,,,88119,21J (Delta),B.1.617.2,,,,,,,4,6,good,,,nextclade 2.5.0,Consensus-634091,1,2025-02-03 14:08:38.037581,2025-02-03 14:08:38.037583
Nextclade-130568,,,,,88205,21L (Omicron),BA.2,,,,,,,1,23,good,,,nextclade 2.6.0,Consensus-703555,1,2025-02-03 14:08:38.038114,2025-02-03 14:08:38.038116
Nextclade-930355,,,,,88705,,,,,,,,,0,16,good,,,nextclade 2.4.0,Consensus-444704,1,2025-02-03 14:08:38.038650,2025-02-03 14:08:38.038651
Nextclade-028094,,,,,87875,21L (Omicron),BA.2,,,,,,,0,0,good,,,nextclade 2.4.0,Consensus-896562,1,2025-02-03 14:08:38.039179,2025-02-03 14:08:38.039180
Nextclade-564593,,,,,87930,21J (Delta),AY.34,,,,,,,0,43,mediocre,,,nextclade 2.4.0,Consensus-677448,1,2025-02-03 14:08:38.039712,2025-02-03 14:08:38.039713
Nextclade-623159,,,,,88572,21K (Omicron),BA.1,,,,,,,3,6,good,,,nextclade 2.4.0,Consensus-379830,1,2025-02-03 14:08:38.040242,2025-02-03 14:08:38.040244
Nextclade-990403,,,,,88460,21J (Delta),AY.4,,,,,,,3,10,good,,,nextclade 2.5.0,Consensus-004388,1,2025-02-03 14:08:38.040766,2025-02-03 14:08:38.040768
Nextclade-266611,,,,,88136,21J (Delta),AY.33,,,,,,,0,1,good,,,nextclade 2.4.0,Consensus-370025,1,2025-02-03 14:08:38.041312,2025-02-03 14:08:38.041313
Nextclade-721613,,,,,88159,20A,B.1.258.11,,,,,,,0,22,good,,,nextclade 2.5.0,Consensus-293400,1,2025-02-03 14:08:38.041846,2025-02-03 14:08:38.041847
Nextclade-327012,,,,,88487,21L (Omicron),BA.2,,,,,,,0,0,good,,,nextclade 2.5.0,Consensus-350938,1,2025-02-03 14:08:38.042369,2025-02-03 14:08:38.042370
Nextclade-799343,,,,,89114,21L (Omicron),BA.2,,,,,,,2,19,good,,,nextclade 2.4.0,Consensus-337271,1,2025-02-03 14:08:38.042894,2025-02-03 14:08:38.042896
Nextclade-652264,,,,,88805,,,,,,,,,0,55,mediocre,,,nextclade 2.6.0,Consensus-420996,1,2025-02-03 14:08:38.043432,2025-02-03 14:08:38.043433
Nextclade-111880,,,,,89273,21J (Delta),AY.43,,,,,,,0,86,mediocre,,,nextclade 2.4.0,Consensus-273359,1,2025-02-03 14:08:38.043953,2025-02-03 14:08:38.043954
Nextclade-188426,,,,,89292,20I (Alpha; V1),B.1.1.7,,,,,,,2,18,good,,,nextclade 2.4.0,Consensus-204892,1,2025-02-03 14:08:38.044480,2025-02-03 14:08:38.044482
Nextclade-071109,,,,,89337,20I (Alpha; V1),B.1.1.7,,,,,,,1,24,good,,,nextclade 2.6.0,Consensus-164103,1,2025-02-03 14:08:38.045002,2025-02-03 14:08:38.045003
Nextclade-490241,,,,,88715,21L (Omicron),BA.2,,,,,,,0,16,good,,,nextclade 2.6.0,Consensus-306060,1,2025-02-03 14:08:38.045529,2025-02-03 14:08:38.045530
Nextclade-344918,,,,,89200,21J (Delta),AY.43,,,,,,,0,13,good,,,nextclade 2.4.0,Consensus-429610,1,2025-02-03 14:08:38.046066,2025-02-03 14:08:38.046067
Nextclade-756747,,,,,88234,recombinant,XH,,,,,,,1,14,good,,,nextclade 2.5.0,Consensus-855484,1,2025-02-03 14:08:38.046594,2025-02-03 14:08:38.046595
Nextclade-264557,,,,,87955,21J (Delta),AY.80,,,,,,,1,3,good,,,nextclade 2.4.0,Consensus-354659,1,2025-02-03 14:08:38.047120,2025-02-03 14:08:38.047121
Nextclade-134437,,,,,88063,21L (Omicron),BA.2.9,,,,,,,0,10,good,,,nextclade 2.6.0,Consensus-863926,1,2025-02-03 14:08:38.047641,2025-02-03 14:08:38.047643
Nextclade-854199,,,,,87972,20I (Alpha; V1),B.1.1.7,,,,,,,1,16,good,,,nextclade 2.4.0,Consensus-563921,1,2025-02-03 14:08:38.048169,2025-02-03 14:08:38.048170
Nextclade-664280,,,,,89682,,,,,,,,,1,27,good,,,nextclade 2.6.0,Consensus-257641,1,2025-02-03 14:08:38.048701,2025-02-03 14:08:38.048702
Nextclade-399956,,,,,88214,20E (EU1),B.1.177.12,,,,,,,3,6,good,,,nextclade 2.5.0,Consensus-025668,1,2025-02-03 14:08:38.049234,2025-02-03 14:08:38.049236
Nextclade-776289,,,,,88156,21J (Delta),AY.4,,,,,,,0,7,good,,,nextclade 2.5.0,Consensus-704770,1,2025-02-03 14:08:38.049765,2025-02-03 14:08:38.049767
Nextclade-600045,,,,,88666,21J (Delta),AY.4,,,,,,,0,20,good,,,nextclade 2.6.0,Consensus-848720,1,2025-02-03 14:08:38.050296,2025-02-03 14:08:38.050298
Nextclade-612413,,,,,88426,21J (Delta),AY.43,,,,,,,0,89,mediocre,,,nextclade 2.6.0,Consensus-595103,1,2025-02-03 14:08:38.050822,2025-02-03 14:08:38.050823
Nextclade-078038,,,,,89164,21K (Omicron),BA.1,,,,,,,3,26,good,,,nextclade 2.6.0,Consensus-232447,1,2025-02-03 14:08:38.051343,2025-02-03 14:08:38.051344
Nextclade-761972,,,,,88817,21L (Omicron),BA.2,,,,,,,4,19,good,,,nextclade 2.5.0,Consensus-022924,1,2025-02-03 14:08:38.051865,2025-02-03 14:08:38.051866
Nextclade-039216,,,,,89049,20A,B.1.160,,,,,,,1,16911,bad,,,nextclade 2.5.0,Consensus-379807,1,2025-02-03 14:08:38.052384,2025-02-03 14:08:38.052385
Nextclade-273576,,,,,87844,21L (Omicron),BA.2,,,,,,,0,78,mediocre,,,nextclade 2.4.0,Consensus-346358,1,2025-02-03 14:08:38.052943,2025-02-03 14:08:38.052945
Nextclade-439624,,,,,88882,20A,B.1.258,,,,,,,0,16,good,,,nextclade 2.5.0,Consensus-651781,1,2025-02-03 14:08:38.053483,2025-02-03 14:08:38.053484
Nextclade-924383,,,,,89691,,,,,,,,,1,3,good,,,nextclade 2.5.0,Consensus-663545,1,2025-02-03 14:08:38.054006,2025-02-03 14:08:38.054007
Nextclade-523672,,,,,88520,21J (Delta),AY.43,,,,,,,0,18,good,,,nextclade 2.4.0,Consensus-006686,1,2025-02-03 14:08:38.054519,2025-02-03 14:08:38.054520
Nextclade-748239,,,,,89228,,,,,,,,,0,25,good,,,nextclade 2.4.0,Consensus-277698,1,2025-02-03 14:08:38.055037,2025-02-03 14:08:38.055038
Nextclade-457825,,,,,88828,20I (Alpha; V1),B.1.1.7,,,,,,,1,5,good,,,nextclade 2.5.0,Consensus-688728,1,2025-02-03 14:08:38.055549,2025-02-03 14:08:38.055550
Nextclade-092101,,,,,89533,21J (Delta),AY.4.6,,,,,,,0,7,good,,,nextclade 2.4.0,Consensus-167375,1,2025-02-03 14:08:38.056059,2025-02-03 14:08:38.056060
Nextclade-978195,,,,,88074,21J (Delta),B.1.617.2,,,,,,,3,61,mediocre,,,nextclade 2.6.0,Consensus-311628,1,2025-02-03 14:08:38.056583,2025-02-03 14:08:38.056584
Nextclade-402622,,,,,88225,21L (Omicron),BA.2.9,,,,,,,0,16,good,,,nextclade 2.6.0,Consensus-217847,1,2025-02-03 14:08:38.057110,2025-02-03 14:08:38.057111
Nextclade-999240,,,,,88817,21J (Delta),AY.4.2,,,,,,,0,4,good,,,nextclade 2.5.0,Consensus-543040,1,2025-02-03 14:08:38.057636,2025-02-03 14:08:38.057637
Nextclade-336236,,,,,88328,21J (Delta),AY.43,,,,,,,1,13,good,,,nextclade 2.4.0,Consensus-198257,1,2025-02-03 14:08:38.058155,2025-02-03 14:08:38.058156
Nextclade-968133,,,,,88812,,,,,,,,,0,44,mediocre,,,nextclade 2.6.0,Consensus-274384,1,2025-02-03 14:08:38.058673,2025-02-03 14:08:38.058674
Nextclade-351609,,,,,88547,,,,,,,,,0,22,good,,,nextclade 2.4.0,Consensus-198605,1,2025-02-03 14:08:38.059196,2025-02-03 14:08:38.059197
Nextclade-584768,,,,,89424,,,,,,,,,3,25,good,,,nextclade 2.6.0,Consensus-615238,1,2025-02-03 14:08:38.059718,2025-02-03 14:08:38.059720
Nextclade-924779,,,,,88681,20E (EU1),B.1.177,,,,,,,1,13,good,,,nextclade 2.4.0,Consensus-113325,1,2025-02-03 14:08:38.060232,2025-02-03 14:08:38.060233
Nextclade-465656,,,,,88579,20I (Alpha; V1),B.1.1.7,,,,,,,0,6,good,,,nextclade 2.6.0,Consensus-169410,1,2025-02-03 14:08:38.060744,2025-02-03 14:08:38.060745
Nextclade-673976,,,,,88184,20I (Alpha; V1),B.1.1.7,,,,,,,0,99,mediocre,,,nextclade 2.6.0,Consensus-391353,1,2025-02-03 14:08:38.061251,2025-02-03 14:08:38.061252
Nextclade-858249,,,,,88300,,,,,,,,,0,15,good,,,nextclade 2.4.0,Consensus-343733,1,2025-02-03 14:08:38.061775,2025-02-03 14:08:38.061777
Nextclade-147179,,,,,89191,21L (Omicron),BA.2.9,,,,,,,0,20,good,,,nextclade 2.4.0,Consensus-070710,1,2025-02-03 14:08:38.062297,2025-02-03 14:08:38.062298
Nextclade-610619,,,,,89042,21J (Delta),AY.33,,,,,,,1,5172,bad,,,nextclade 2.4.0,Consensus-744958,1,2025-02-03 14:08:38.062813,2025-02-03 14:08:38.062814
Nextclade-314495,,,,,88505,,,,,,,,,0,11,good,,,nextclade 2.4.0,Consensus-247341,1,2025-02-03 14:08:38.063332,2025-02-03 14:08:38.063333
Nextclade-490679,,,,,89494,20I (Alpha; V1),B.1.1.7,,,,,,,0,24,good,,,nextclade 2.6.0,Consensus-103688,1,2025-02-03 14:08:38.063838,2025-02-03 14:08:38.063840
Nextclade-022041,,,,,89127,21J (Delta),AY.4.6,,,,,,,0,28,good,,,nextclade 2.5.0,Consensus-517449,1,2025-02-03 14:08:38.064357,2025-02-03 14:08:38.064359
Nextclade-322969,,,,,87821,21J (Delta),AY.4,,,,,,,0,20,good,,,nextclade 2.4.0,Consensus-474978,1,2025-02-03 14:08:38.064866,2025-02-03 14:08:38.064867
Nextclade-624237,,,,,89279,21J (Delta),B.1.617.2,,,,,,,1,27,good,,,nextclade 2.4.0,Consensus-356674,1,2025-02-03 14:08:38.065394,2025-02-03 14:08:38.065395
Nextclade-687012,,,,,89336,20A,B.1,,,,,,,2,60,mediocre,,,nextclade 2.5.0,Consensus-218609,1,2025-02-03 14:08:38.065923,2025-02-03 14:08:38.065924
Nextclade-302267,,,,,89347,21K (Omicron),BA.1,,,,,,,0,18,good,,,nextclade 2.4.0,Consensus-226858,1,2025-02-03 14:08:38.066430,2025-02-03 14:08:38.066431
Nextclade-275521,,,,,89162,21K (Omicron),BA.1.17.2,,,,,,,0,19,good,,,nextclade 2.6.0,Consensus-832362,1,2025-02-03 14:08:38.066945,2025-02-03 14:08:38.066946
Nextclade-360880,,,,,88263,21J (Delta),AY.7.1,,,,,,,4,21,good,,,nextclade 2.5.0,Consensus-036990,1,2025-02-03 14:08:38.067459,2025-02-03 14:08:38.067461
Nextclade-662672,,,,,89527,21J (Delta),AY.43,,,,,,,1,3,good,,,nextclade 2.6.0,Consensus-612904,1,2025-02-03 14:08:38.067972,2025-02-03 14:08:38.067973
Nextclade-533619,,,,,87885,20I (Alpha; V1),B.1.1.7,,,,,,,0,14,good,,,nextclade 2.6.0,Consensus-113359,1,2025-02-03 14:08:38.068484,2025-02-03 14:08:38.068485
Nextclade-987421,,,,,87979,20B,B.1.1,,,,,,,1,6,good,,,nextclade 2.6.0,Consensus-291875,1,2025-02-03 14:08:38.069004,2025-02-03 14:08:38.069005
Nextclade-988616,,,,,89327,21J (Delta),AY.122,,,,,,,2,12,good,,,nextclade 2.4.0,Consensus-607558,1,2025-02-03 14:08:38.069536,2025-02-03 14:08:38.069537
