DateSampling,LineagesOfInterest,weight
2021-12-24,NULL,141
2022-01-21,Omicron,36
2021-04-04,Eta,5
2021-04-25,Eta,1
2020-12-15,Delta,3
2021-04-20,NULL,427
2020-12-20,NULL,881
2021-05-05,Alpha,948
2021-07-06,NULL,136
2021-09-14,Delta,576
2021-11-22,Delta,2441
2021-11-25,NULL,295
2021-09-03,Delta,535
2022-01-14,BA.1,1064
2022-02-04,BA.1,268
2021-05-29,Alpha,899
2021-10-21,NULL,87
2021-12-18,BA.2,42
2022-02-13,NULL,216
2020-11-26,Alpha,13
2022-02-15,Omicron,10
2021-08-23,NULL,91
2022-02-04,Omicron,20
2021-05-23,Gamma,4
2021-05-09,Beta,2
2021-08-06,Alpha,5
2021-04-20,Beta,1
2021-05-17,Delta,2
2021-04-01,Beta,2
2021-03-11,Beta,2
2021-02-13,Gamma,1
2021-06-25,Beta,1
2021-07-04,Gamma,1
2022-02-22,Delta,2
2021-09-05,Alpha,1
2021-06-15,Beta,1
2021-04-04,Delta,2
2021-02-12,Gamma,1
2021-01-02,NULL,1766
2020-12-14,NULL,1843
2020-11-28,NULL,814
2020-10-23,NULL,74
2021-12-12,Delta,1184
2021-01-16,NULL,792
2022-02-13,BA.2,2560
2020-11-09,NULL,602
2021-04-12,Alpha,898
2021-02-21,NULL,233
2021-02-02,NULL,489
2021-12-21,BA.2,89
2021-09-20,NULL,130
2020-10-02,NULL,31
2021-08-31,NULL,38
2021-06-25,NULL,47
2022-01-14,Omicron,12
2022-02-17,Omicron,5
2021-04-08,Beta,16
2021-08-16,Delta,1140
2021-01-11,NULL,1457
2021-09-26,Delta,466
2022-02-21,NULL,253
2021-06-07,Alpha,945
2020-12-08,NULL,1332
2021-04-01,NULL,154
2021-10-10,Delta,569
2020-12-25,NULL,1027
2021-09-19,Delta,299
2021-04-26,Alpha,718
2021-08-26,Delta,1207
2021-06-21,Alpha,161
2020-12-18,NULL,849
2021-07-30,Delta,851
2021-08-29,NULL,62
2021-12-18,Delta,526
2021-11-16,NULL,258
2021-02-13,Alpha,156
2021-12-24,BA.2,34
2021-07-15,Alpha,76
2020-12-02,Alpha,12
2021-12-16,BA.2,21
2022-02-16,BA.1,90
2022-01-15,Delta,10
2020-12-19,Alpha,22
2021-04-01,Eta,14
2022-01-20,Omicron,16
2021-01-22,Gamma,1
2022-02-01,Delta,4
2020-12-30,Delta,8
2021-04-02,Alpha,483
2021-12-06,NULL,545
2020-12-24,NULL,755
2021-05-14,NULL,196
2020-10-28,NULL,284
2021-06-29,Alpha,219
2020-11-17,NULL,434
2022-01-12,BA.1,1234
2021-12-23,BA.1,845
2021-12-27,NULL,482
2021-10-15,NULL,41
2022-01-30,NULL,295
2021-06-15,NULL,21
2021-07-17,NULL,35
2020-10-11,NULL,39
2021-12-14,BA.2,18
2021-08-04,Alpha,19
2021-06-19,Gamma,7
2021-09-13,Delta,435
2021-11-09,Delta,3116
2021-03-07,NULL,285
2022-02-07,NULL,628
2021-08-11,Delta,1304
2022-01-01,NULL,153
2022-01-22,NULL,220
2022-01-03,BA.1,1881
2020-09-18,NULL,112
2021-02-23,NULL,269
2021-04-14,NULL,325
2022-02-10,NULL,153
2021-05-22,Gamma,2
2022-02-25,BA.1,56
2021-03-28,Eta,14
2021-10-29,NULL,65
2021-01-14,Alpha,62
2021-03-29,Alpha,619
2021-05-11,Alpha,1093
2021-12-26,Delta,189
2021-06-28,Delta,260
2021-09-30,Delta,489
2020-11-24,NULL,582
2021-05-10,Alpha,910
2020-11-30,NULL,810
2022-01-21,BA.2,2063
2022-02-27,BA.2,2142
2022-01-20,BA.2,1632
2021-04-19,NULL,320
2021-06-14,Delta,15
2022-02-28,NULL,204
2021-06-17,Alpha,188
2022-01-27,BA.2,1571
2021-09-15,NULL,46
2021-07-08,NULL,129
2021-04-05,Beta,1
2021-06-10,Gamma,1
2021-02-18,Eta,12
2021-01-02,Alpha,34
2022-01-09,Omicron,9
2021-08-09,Alpha,10
2020-12-04,NULL,943
2021-12-07,Delta,2268
2021-11-16,Delta,1919
2020-11-16,NULL,1051
2021-08-20,Delta,916
2020-09-23,NULL,316
2021-03-03,NULL,195
2021-12-08,NULL,278
2022-01-10,NULL,285
2021-12-07,BA.1,247
2022-02-17,BA.1,96
2022-01-29,BA.1,266
2022-02-19,NULL,113
2021-03-15,Alpha,790
2022-01-07,Delta,98
2021-04-20,Alpha,728
2021-04-05,NULL,127
2021-09-28,NULL,24
2021-06-08,Delta,11
2021-11-01,NULL,123
2021-01-24,Alpha,74
2021-03-21,NULL,135
2021-07-01,NULL,65
2020-12-01,Alpha,33
2021-04-07,Eta,9
2022-02-12,Omicron,6
2020-12-17,Alpha,18
2021-04-11,Eta,3
2022-02-03,NULL,289
2020-11-04,NULL,463
2021-11-30,Delta,2071
2021-01-13,NULL,1244
2021-07-02,NULL,176
2020-10-08,NULL,68
2021-07-13,Delta,1523
2021-11-04,NULL,128
2021-03-11,Alpha,498
2021-09-06,NULL,71
2022-02-26,BA.2,2628
2022-01-11,BA.2,1130
2022-02-14,BA.1,144
2021-08-20,NULL,100
2021-07-30,NULL,106
2021-06-05,Delta,10
2021-07-23,Alpha,20
2021-06-26,NULL,9
2021-02-09,Eta,2
2020-11-15,Alpha,13
2020-12-18,Alpha,16
2020-11-12,Alpha,5
2021-02-27,Eta,8
2022-01-28,Omicron,3
2021-05-01,Delta,4
2021-11-27,BA.1,2
2021-12-16,Omicron,2
2021-01-12,Gamma,1
2021-04-17,Delta,4
2020-11-10,Alpha,7
2021-04-06,Eta,2
2021-05-27,Gamma,1
2021-02-01,Beta,2
2021-03-26,Beta,3
2022-02-01,Alpha,1
2020-11-09,Alpha,1
2021-02-19,Beta,2
2021-03-07,Gamma,1
2021-11-25,Delta,2101
2021-03-27,Alpha,759
2021-03-26,Alpha,749
2021-04-16,NULL,301
2021-02-05,NULL,434
2021-02-04,NULL,417
2021-03-31,NULL,143
2021-04-13,Alpha,665
2021-05-17,NULL,171
2020-11-07,NULL,515
2021-05-05,NULL,196
2022-01-24,BA.2,2462
2022-02-12,BA.2,2409
2022-01-03,NULL,366
2021-12-30,Delta,145
2020-09-15,NULL,147
2022-02-05,BA.1,264
2022-02-27,NULL,158
2021-12-23,BA.2,91
2021-08-12,Delta,973
2021-03-22,NULL,320
2021-12-01,Delta,2936
2021-12-21,NULL,338
2021-03-05,Eta,20
2021-12-03,NULL,240
2021-05-03,Alpha,1254
2021-01-26,Alpha,117
2021-07-12,Alpha,108
2021-10-24,Delta,1427
2021-02-20,Alpha,253
2021-07-12,Delta,1021
2021-12-14,NULL,340
2021-03-30,Alpha,515
2021-12-19,BA.1,939
2021-06-25,Delta,71
2021-08-05,Delta,1423
2020-09-30,NULL,84
2021-11-23,NULL,198
2021-12-29,Delta,102
2022-02-23,BA.1,54
2020-12-23,Alpha,22
2021-05-04,Delta,4
2021-06-30,NULL,48
2021-06-13,NULL,50
2021-06-02,NULL,71
2021-08-05,Alpha,12
2021-11-18,Delta,1966
2020-12-21,NULL,859
2021-08-22,Alpha,1
2022-01-13,BA.1,1173
2021-12-08,BA.1,260
2022-02-15,BA.1,149
2021-09-10,Delta,389
2021-01-07,NULL,805
2021-06-19,NULL,21
2021-08-07,NULL,62
2020-12-20,Alpha,19
2021-09-11,NULL,66
2021-03-23,Eta,16
2022-01-22,Omicron,12
2021-01-03,Alpha,25
2021-06-13,Delta,17
2020-12-03,Alpha,16
2021-10-01,NULL,37
2021-06-16,Gamma,3
2021-08-22,NULL,42
2021-03-31,Beta,8
2021-02-06,NULL,357
2020-12-10,NULL,925
2020-09-28,NULL,237
2020-11-05,NULL,444
2021-08-28,Delta,1058
2021-12-02,NULL,249
2021-12-20,Delta,704
2021-10-01,Delta,440
2021-08-24,Delta,1081
2021-08-07,Delta,1008
2022-02-08,BA.2,2276
2022-01-07,BA.1,1929
2022-01-15,BA.2,1112
2022-02-28,BA.1,46
2021-02-14,Alpha,141
2021-04-10,NULL,114
2021-04-20,Eta,1
2022-01-01,BA.2,143
2021-07-21,Alpha,29
2021-06-09,Delta,14
2021-07-20,Alpha,33
2021-12-15,BA.2,23
2021-03-24,Eta,12
2021-03-29,Eta,20
2022-01-29,Delta,2
2021-07-29,Alpha,11
2021-01-30,Eta,9
2021-05-25,Delta,2
2022-02-27,Omicron,4
2021-03-04,Gamma,1
2021-05-02,Delta,6
2021-08-12,Alpha,1
2021-12-21,Omicron,2
2021-04-18,Eta,5
2021-03-22,Beta,2
2021-04-10,Beta,1
2021-04-04,Beta,2
2021-04-02,Beta,2
2021-06-07,Beta,1
2021-01-24,Eta,2
2021-05-12,Gamma,1
2022-01-30,Delta,2
2020-11-06,Delta,1
2020-12-21,Delta,2
2021-05-01,Eta,1
2021-02-23,BA.2,1
2021-04-19,Gamma,1
2020-12-17,NULL,1159
2021-10-15,Delta,673
2021-01-31,NULL,429
2021-05-19,Alpha,961
2021-08-14,Delta,787
2021-01-20,NULL,1012
2021-12-12,NULL,417
2021-03-04,Alpha,401
2021-12-28,BA.1,1279
2022-01-24,BA.1,677
2022-02-19,BA.2,1799
2020-10-26,NULL,511
2021-12-05,NULL,619
2021-07-10,Alpha,70
2021-03-28,Alpha,490
2021-12-30,NULL,212
2020-09-03,NULL,148
2021-10-28,NULL,108
2021-01-17,Alpha,58
2020-11-30,Alpha,22
2021-11-30,BA.1,23
2021-11-26,BA.1,6
2021-04-07,Beta,3
2020-11-18,Alpha,7
2021-04-05,Eta,9
2021-02-28,Eta,2
2021-01-31,Eta,1
2020-12-14,Delta,2
2020-12-31,Delta,8
2020-10-18,Alpha,1
2021-08-15,Alpha,3
2022-02-14,Delta,1
2021-02-21,Eta,5
2021-01-29,Gamma,1
2021-01-16,Eta,1
2021-07-03,Gamma,1
2021-04-19,Beta,1
2021-05-14,Alpha,794
2021-11-21,Delta,1772
2021-03-19,Alpha,440
2021-12-15,Delta,903
2021-03-20,Alpha,465
2021-11-09,NULL,194
2021-06-25,Alpha,155
2021-07-05,Alpha,98
2021-02-18,NULL,310
2022-01-13,BA.2,1311
2021-08-04,NULL,108
2021-01-16,Alpha,59
2022-02-09,BA.1,133
2021-08-08,Alpha,14
2021-01-09,Alpha,28
2021-08-28,NULL,51
2021-02-02,Beta,2
2021-05-28,Delta,8
2021-06-24,Gamma,2
2021-03-21,Eta,9
2021-04-06,NULL,206
2022-01-29,NULL,480
2021-09-25,Delta,465
2021-11-01,Delta,1592
2021-10-14,Delta,785
2020-12-22,NULL,808
2021-05-24,Alpha,840
2021-09-12,NULL,64
2020-11-02,NULL,444
2021-08-03,Delta,898
2021-04-01,Alpha,622
2022-02-23,BA.2,1426
2022-02-20,BA.2,1475
2022-01-10,BA.1,1107
2021-07-02,Delta,336
2021-03-19,NULL,149
2021-06-13,Alpha,204
2020-09-27,NULL,99
2021-04-26,NULL,292
2021-12-26,NULL,114
2022-01-26,Omicron,6
2021-02-28,NULL,281
2021-02-24,Alpha,358
2021-09-14,NULL,63
2022-01-07,Omicron,34
2022-01-05,Omicron,9
2021-10-05,Delta,538
2021-10-14,NULL,52
2021-11-02,Delta,2143
2022-02-15,BA.2,3240
2021-04-03,NULL,127
2020-11-01,NULL,340
2021-02-27,NULL,186
2022-02-06,NULL,276
2020-09-20,NULL,290
2020-09-21,NULL,219
2021-09-17,NULL,31
2021-08-07,Alpha,6
2022-01-24,Delta,8
2021-04-14,Delta,1
2021-04-27,Delta,2
2020-12-09,Alpha,11
2021-04-19,Eta,5
2022-01-27,Delta,4
2021-07-03,Beta,1
2021-02-21,Beta,2
2020-12-07,Delta,1
2021-05-22,Delta,2
2021-04-24,Eta,1
2021-03-29,Beta,1
2021-02-04,Gamma,1
2021-04-25,Gamma,3
2021-05-06,Beta,1
2022-01-06,Omicron,1
2021-12-17,Omicron,1
2021-02-28,Beta,1
2021-12-13,Delta,1357
2021-07-26,Delta,1414
2021-10-22,Delta,1429
2021-09-03,NULL,55
2021-06-05,Alpha,665
2021-07-15,NULL,115
2022-01-06,BA.1,730
2021-12-18,BA.1,730
2021-11-28,BA.1,13
2021-12-13,BA.1,532
2021-03-24,Alpha,659
2021-03-14,NULL,212
2021-08-17,NULL,66
2020-11-19,Alpha,15
2021-09-05,NULL,76
2022-02-24,BA.1,56
2021-03-30,Eta,14
2021-10-25,NULL,83
2020-12-27,Alpha,13
2021-07-11,NULL,167
2021-06-23,NULL,84
2020-10-07,NULL,117
2021-04-09,Beta,1
2021-11-14,NULL,130
2021-06-23,Gamma,1
2021-08-11,Alpha,5
2021-05-21,Alpha,731
2021-05-07,Alpha,855
2021-08-19,Delta,1028
2021-08-09,Delta,1088
2021-10-27,Delta,1731
2021-09-23,Delta,402
2021-07-19,Delta,1198
2021-03-23,Alpha,652
2020-10-16,NULL,132
2022-01-05,BA.1,1287
2020-09-29,NULL,135
2021-09-01,NULL,98
2022-01-26,BA.1,439
2021-06-24,Delta,76
2021-06-18,Delta,9
2021-08-21,NULL,53
2021-05-11,Delta,7
2022-01-10,Omicron,10
2021-08-04,Delta,1344
2021-05-09,Alpha,838
2021-01-20,Alpha,106
2021-10-31,Delta,1268
2021-04-21,NULL,253
2021-08-01,Delta,865
2020-12-05,NULL,713
2020-12-19,NULL,1334
2021-09-08,Delta,621
2021-06-11,Alpha,283
2021-06-08,Alpha,617
2021-07-17,Delta,780
2022-01-08,BA.1,649
2021-06-15,Alpha,296
2021-06-30,Delta,402
2021-02-16,NULL,383
2021-01-05,Alpha,45
2021-01-22,Alpha,111
2021-04-24,NULL,223
2022-01-24,Omicron,21
2022-01-26,Delta,2
2022-01-02,NULL,820
2021-06-12,NULL,71
2022-01-19,NULL,272
2021-05-26,Alpha,992
2021-09-04,Delta,455
2021-04-27,NULL,219
2021-12-22,NULL,271
2022-02-09,NULL,188
2021-11-29,Delta,2227
2022-01-09,NULL,276
2021-11-05,Delta,1972
2022-02-22,BA.2,2578
2022-01-17,BA.1,1081
2021-03-06,Eta,19
2021-02-10,NULL,345
2021-07-26,NULL,53
2020-09-17,NULL,109
2021-02-17,NULL,272
2021-04-18,Alpha,870
2022-02-12,NULL,184
2022-01-06,Delta,65
2021-12-04,BA.1,70
2021-01-10,Alpha,41
2021-03-10,Eta,11
2021-03-13,Eta,12
2021-04-30,Eta,2
2021-12-27,Omicron,2
2020-11-14,Alpha,9
2021-05-08,Beta,1
2021-04-26,Beta,1
2022-02-02,Omicron,4
2021-04-13,Beta,2
2022-02-08,Omicron,8
2021-11-29,BA.1,6
2021-01-22,Eta,4
2021-04-17,Eta,2
2021-05-05,Delta,1
2021-01-26,Beta,1
2021-12-08,Omicron,1
2021-03-20,Beta,1
2021-06-04,Gamma,1
2021-05-13,Beta,1
2021-06-29,Gamma,2
2021-06-21,Gamma,1
2021-12-15,Omicron,1
2021-03-01,NULL,316
2020-12-16,Alpha,25
2021-03-12,Alpha,408
2021-01-19,Alpha,91
2022-02-14,NULL,260
2022-01-31,BA.2,2977
2021-12-12,BA.1,320
2022-01-17,NULL,311
2021-11-06,NULL,135
2021-12-07,NULL,339
2021-02-26,Gamma,3
2022-01-08,NULL,237
2022-01-19,BA.1,849
2022-02-06,Omicron,27
2021-11-30,NULL,255
2021-12-04,NULL,312
2020-10-10,NULL,126
2021-10-23,NULL,59
2021-02-15,NULL,280
2021-04-22,NULL,210
2021-04-11,NULL,132
2021-07-22,Alpha,28
2021-06-21,Delta,32
2021-04-22,Gamma,1
2021-06-10,NULL,42
2021-03-30,Delta,2
2021-12-02,Delta,3033
2021-01-08,NULL,1214
2021-02-07,Alpha,125
2021-05-29,NULL,87
2021-02-09,NULL,381
2021-12-06,BA.1,263
2022-01-09,Delta,30
2021-09-27,Delta,440
2021-08-24,NULL,88
2021-09-30,NULL,27
2021-06-14,NULL,44
2021-01-23,Alpha,65
2021-10-03,NULL,53
2021-03-03,Eta,8
2021-10-17,NULL,51
2021-06-10,Delta,10
2021-04-26,Gamma,3
2021-01-04,Alpha,38
2021-05-27,Delta,9
2021-02-16,Eta,7
2020-09-22,Alpha,1
2021-08-03,Alpha,6
2021-04-02,Delta,3
2021-08-06,NULL,126
2021-03-13,NULL,224
2020-12-26,NULL,1676
2021-07-10,Delta,395
2020-10-15,NULL,119
2021-10-08,Delta,873
2021-01-06,NULL,818
2021-03-06,NULL,291
2020-09-14,NULL,186
2021-10-09,Delta,473
2021-12-27,Delta,337
2022-02-01,BA.2,1054
2022-02-05,BA.2,2296
2021-03-31,Alpha,595
2021-09-13,NULL,24
2020-11-23,Alpha,13
2021-12-11,BA.1,266
2021-12-10,BA.1,246
2022-01-26,NULL,238
2021-10-31,NULL,51
2021-09-11,Delta,286
2022-01-10,Delta,33
2022-03-01,BA.1,46
2020-12-07,Alpha,37
2021-06-29,Beta,7
2021-06-19,Alpha,144
2020-12-21,Alpha,15
2022-01-08,Omicron,22
2021-02-17,Eta,14
2021-08-14,Alpha,3
2021-03-07,Eta,6
2021-04-21,Eta,7
2021-07-30,Gamma,1
2020-12-30,Alpha,13
2021-12-20,Alpha,2
2021-06-12,Gamma,2
2022-02-26,Omicron,1
2021-03-09,Beta,4
2021-05-20,Delta,3
2021-05-15,Beta,1
2022-02-25,Omicron,3
2021-06-27,Beta,1
2021-08-26,Alpha,1
2022-02-24,Omicron,1
