LineagesOfInterest,BatchSource,StartDate,EndDate,weights
NULL,Gilead,2021-03-22 00.00.00.000,2021-03-28 00.00.00.000,20
NULL,Hogwarts,2021-03-22 00.00.00.000,2021-03-28 00.00.00.000,49
NULL,Narnia,2021-03-22 00.00.00.000,2021-03-28 00.00.00.000,16
NULL,Pandora,2021-03-22 00.00.00.000,2021-03-28 00.00.00.000,35
NULL,Panem,2021-03-22 00.00.00.000,2021-03-28 00.00.00.000,1379
NULL,Wakanda,2021-03-22 00.00.00.000,2021-03-28 00.00.00.000,5
Alpha,Agrabah,2021-03-22 00.00.00.000,2021-03-28 00.00.00.000,48
Alpha,Gilead,2021-03-22 00.00.00.000,2021-03-28 00.00.00.000,45
Alpha,Hogwarts,2021-03-22 00.00.00.000,2021-03-28 00.00.00.000,97
Alpha,Narnia,2021-03-22 00.00.00.000,2021-03-28 00.00.00.000,33
Alpha,Pandora,2021-03-22 00.00.00.000,2021-03-28 00.00.00.000,42
Alpha,Panem,2021-03-22 00.00.00.000,2021-03-28 00.00.00.000,4185
Alpha,Wakanda,2021-03-22 00.00.00.000,2021-03-28 00.00.00.000,15
Beta,Panem,2021-03-22 00.00.00.000,2021-03-28 00.00.00.000,10
Eta,Gilead,2021-03-22 00.00.00.000,2021-03-28 00.00.00.000,7
Eta,Hogwarts,2021-03-22 00.00.00.000,2021-03-28 00.00.00.000,7
Eta,Panem,2021-03-22 00.00.00.000,2021-03-28 00.00.00.000,93
Gamma,Panem,2021-03-22 00.00.00.000,2021-03-28 00.00.00.000,7
NULL,Agrabah,2021-03-29 00.00.00.000,2021-04-04 00.00.00.000,17
NULL,Gilead,2021-03-29 00.00.00.000,2021-04-04 00.00.00.000,19
NULL,Hogwarts,2021-03-29 00.00.00.000,2021-04-04 00.00.00.000,36
NULL,Narnia,2021-03-29 00.00.00.000,2021-04-04 00.00.00.000,18
NULL,Pandora,2021-03-29 00.00.00.000,2021-04-04 00.00.00.000,20
NULL,Panem,2021-03-29 00.00.00.000,2021-04-04 00.00.00.000,979
NULL,Wakanda,2021-03-29 00.00.00.000,2021-04-04 00.00.00.000,2
Alpha,Agrabah,2021-03-29 00.00.00.000,2021-04-04 00.00.00.000,39
Alpha,Gilead,2021-03-29 00.00.00.000,2021-04-04 00.00.00.000,31
Alpha,Hogwarts,2021-03-29 00.00.00.000,2021-04-04 00.00.00.000,57
Alpha,Narnia,2021-03-29 00.00.00.000,2021-04-04 00.00.00.000,68
Alpha,Pandora,2021-03-29 00.00.00.000,2021-04-04 00.00.00.000,24
Alpha,Panem,2021-03-29 00.00.00.000,2021-04-04 00.00.00.000,3705
Alpha,Wakanda,2021-03-29 00.00.00.000,2021-04-04 00.00.00.000,1
Beta,Hogwarts,2021-03-29 00.00.00.000,2021-04-04 00.00.00.000,1
Beta,Narnia,2021-03-29 00.00.00.000,2021-04-04 00.00.00.000,3
Beta,Panem,2021-03-29 00.00.00.000,2021-04-04 00.00.00.000,14
Delta,Panem,2021-03-29 00.00.00.000,2021-04-04 00.00.00.000,5
Eta,Gilead,2021-03-29 00.00.00.000,2021-04-04 00.00.00.000,8
Eta,Panem,2021-03-29 00.00.00.000,2021-04-04 00.00.00.000,76
NULL,Agrabah,2021-04-05 00.00.00.000,2021-04-11 00.00.00.000,14
NULL,Gilead,2021-04-05 00.00.00.000,2021-04-11 00.00.00.000,20
NULL,Hogwarts,2021-04-05 00.00.00.000,2021-04-11 00.00.00.000,447
NULL,Narnia,2021-04-05 00.00.00.000,2021-04-11 00.00.00.000,18
NULL,Pandora,2021-04-05 00.00.00.000,2021-04-11 00.00.00.000,18
NULL,Panem,2021-04-05 00.00.00.000,2021-04-11 00.00.00.000,697
NULL,Wakanda,2021-04-05 00.00.00.000,2021-04-11 00.00.00.000,12
Alpha,Agrabah,2021-04-05 00.00.00.000,2021-04-11 00.00.00.000,42
Alpha,Gilead,2021-04-05 00.00.00.000,2021-04-11 00.00.00.000,25
Alpha,Hogwarts,2021-04-05 00.00.00.000,2021-04-11 00.00.00.000,1287
Alpha,Narnia,2021-04-05 00.00.00.000,2021-04-11 00.00.00.000,68
Alpha,Pandora,2021-04-05 00.00.00.000,2021-04-11 00.00.00.000,33
Alpha,Panem,2021-04-05 00.00.00.000,2021-04-11 00.00.00.000,2803
Alpha,Wakanda,2021-04-05 00.00.00.000,2021-04-11 00.00.00.000,16
Beta,Hogwarts,2021-04-05 00.00.00.000,2021-04-11 00.00.00.000,15
Beta,Narnia,2021-04-05 00.00.00.000,2021-04-11 00.00.00.000,1
Beta,Panem,2021-04-05 00.00.00.000,2021-04-11 00.00.00.000,10
Delta,Panem,2021-04-05 00.00.00.000,2021-04-11 00.00.00.000,2
Eta,Gilead,2021-04-05 00.00.00.000,2021-04-11 00.00.00.000,3
Eta,Hogwarts,2021-04-05 00.00.00.000,2021-04-11 00.00.00.000,11
Eta,Panem,2021-04-05 00.00.00.000,2021-04-11 00.00.00.000,28
NULL,Agrabah,2021-04-12 00.00.00.000,2021-04-18 00.00.00.000,19
NULL,Gilead,2021-04-12 00.00.00.000,2021-04-18 00.00.00.000,8
NULL,Hogwarts,2021-04-12 00.00.00.000,2021-04-18 00.00.00.000,408
NULL,Narnia,2021-04-12 00.00.00.000,2021-04-18 00.00.00.000,3
NULL,Pandora,2021-04-12 00.00.00.000,2021-04-18 00.00.00.000,14
NULL,Panem,2021-04-12 00.00.00.000,2021-04-18 00.00.00.000,1550
NULL,Wakanda,2021-04-12 00.00.00.000,2021-04-18 00.00.00.000,20
Alpha,Agrabah,2021-04-12 00.00.00.000,2021-04-18 00.00.00.000,35
Alpha,Gilead,2021-04-12 00.00.00.000,2021-04-18 00.00.00.000,22
Alpha,Hogwarts,2021-04-12 00.00.00.000,2021-04-18 00.00.00.000,1396
Alpha,Narnia,2021-04-12 00.00.00.000,2021-04-18 00.00.00.000,37
Alpha,Pandora,2021-04-12 00.00.00.000,2021-04-18 00.00.00.000,37
Alpha,Panem,2021-04-12 00.00.00.000,2021-04-18 00.00.00.000,3399
Alpha,Wakanda,2021-04-12 00.00.00.000,2021-04-18 00.00.00.000,22
Beta,Hogwarts,2021-04-12 00.00.00.000,2021-04-18 00.00.00.000,3
Beta,Panem,2021-04-12 00.00.00.000,2021-04-18 00.00.00.000,7
Delta,Agrabah,2021-04-12 00.00.00.000,2021-04-18 00.00.00.000,1
Delta,Hogwarts,2021-04-12 00.00.00.000,2021-04-18 00.00.00.000,2
Delta,Panem,2021-04-12 00.00.00.000,2021-04-18 00.00.00.000,5
Eta,Agrabah,2021-04-12 00.00.00.000,2021-04-18 00.00.00.000,1
Eta,Hogwarts,2021-04-12 00.00.00.000,2021-04-18 00.00.00.000,2
Eta,Pandora,2021-04-12 00.00.00.000,2021-04-18 00.00.00.000,1
Eta,Panem,2021-04-12 00.00.00.000,2021-04-18 00.00.00.000,9
Eta,Wakanda,2021-04-12 00.00.00.000,2021-04-18 00.00.00.000,1
NULL,Agrabah,2021-04-19 00.00.00.000,2021-04-25 00.00.00.000,8
NULL,Gilead,2021-04-19 00.00.00.000,2021-04-25 00.00.00.000,8
NULL,Hogwarts,2021-04-19 00.00.00.000,2021-04-25 00.00.00.000,559
NULL,Narnia,2021-04-19 00.00.00.000,2021-04-25 00.00.00.000,20
NULL,Pandora,2021-04-19 00.00.00.000,2021-04-25 00.00.00.000,24
NULL,Panem,2021-04-19 00.00.00.000,2021-04-25 00.00.00.000,1287
NULL,Wakanda,2021-04-19 00.00.00.000,2021-04-25 00.00.00.000,13
Alpha,Agrabah,2021-04-19 00.00.00.000,2021-04-25 00.00.00.000,53
Alpha,Gilead,2021-04-19 00.00.00.000,2021-04-25 00.00.00.000,16
Alpha,Hogwarts,2021-04-19 00.00.00.000,2021-04-25 00.00.00.000,1366
Alpha,Narnia,2021-04-19 00.00.00.000,2021-04-25 00.00.00.000,54
Alpha,Pandora,2021-04-19 00.00.00.000,2021-04-25 00.00.00.000,33
Alpha,Panem,2021-04-19 00.00.00.000,2021-04-25 00.00.00.000,3319
Alpha,Wakanda,2021-04-19 00.00.00.000,2021-04-25 00.00.00.000,19
Beta,Hogwarts,2021-04-19 00.00.00.000,2021-04-25 00.00.00.000,4
Beta,Narnia,2021-04-19 00.00.00.000,2021-04-25 00.00.00.000,2
Beta,Panem,2021-04-19 00.00.00.000,2021-04-25 00.00.00.000,14
Delta,Agrabah,2021-04-19 00.00.00.000,2021-04-25 00.00.00.000,3
Delta,Hogwarts,2021-04-19 00.00.00.000,2021-04-25 00.00.00.000,6
Delta,Narnia,2021-04-19 00.00.00.000,2021-04-25 00.00.00.000,1
Delta,Panem,2021-04-19 00.00.00.000,2021-04-25 00.00.00.000,8
Eta,Hogwarts,2021-04-19 00.00.00.000,2021-04-25 00.00.00.000,4
Eta,Panem,2021-04-19 00.00.00.000,2021-04-25 00.00.00.000,18
Gamma,Hogwarts,2021-04-19 00.00.00.000,2021-04-25 00.00.00.000,1
Gamma,Panem,2021-04-19 00.00.00.000,2021-04-25 00.00.00.000,4
NULL,Agrabah,2021-04-26 00.00.00.000,2021-05-02 00.00.00.000,9
NULL,Gilead,2021-04-26 00.00.00.000,2021-05-02 00.00.00.000,9
NULL,Hogwarts,2021-04-26 00.00.00.000,2021-05-02 00.00.00.000,189
NULL,Narnia,2021-04-26 00.00.00.000,2021-05-02 00.00.00.000,13
NULL,Pandora,2021-04-26 00.00.00.000,2021-05-02 00.00.00.000,19
NULL,Panem,2021-04-26 00.00.00.000,2021-05-02 00.00.00.000,1323
NULL,Wakanda,2021-04-26 00.00.00.000,2021-05-02 00.00.00.000,8
Alpha,Agrabah,2021-04-26 00.00.00.000,2021-05-02 00.00.00.000,36
Alpha,Gilead,2021-04-26 00.00.00.000,2021-05-02 00.00.00.000,23
Alpha,Hogwarts,2021-04-26 00.00.00.000,2021-05-02 00.00.00.000,992
Alpha,Narnia,2021-04-26 00.00.00.000,2021-05-02 00.00.00.000,72
Alpha,Pandora,2021-04-26 00.00.00.000,2021-05-02 00.00.00.000,36
Alpha,Panem,2021-04-26 00.00.00.000,2021-05-02 00.00.00.000,3832
Alpha,Wakanda,2021-04-26 00.00.00.000,2021-05-02 00.00.00.000,25
Beta,Panem,2021-04-26 00.00.00.000,2021-05-02 00.00.00.000,1
Delta,Hogwarts,2021-04-26 00.00.00.000,2021-05-02 00.00.00.000,3
Delta,Pandora,2021-04-26 00.00.00.000,2021-05-02 00.00.00.000,1
Delta,Panem,2021-04-26 00.00.00.000,2021-05-02 00.00.00.000,20
Eta,Hogwarts,2021-04-26 00.00.00.000,2021-05-02 00.00.00.000,1
Eta,Panem,2021-04-26 00.00.00.000,2021-05-02 00.00.00.000,3
Gamma,Hogwarts,2021-04-26 00.00.00.000,2021-05-02 00.00.00.000,1
Gamma,Panem,2021-04-26 00.00.00.000,2021-05-02 00.00.00.000,5
NULL,Agrabah,2021-05-03 00.00.00.000,2021-05-09 00.00.00.000,12
NULL,Gilead,2021-05-03 00.00.00.000,2021-05-09 00.00.00.000,11
NULL,Hogwarts,2021-05-03 00.00.00.000,2021-05-09 00.00.00.000,130
NULL,Narnia,2021-05-03 00.00.00.000,2021-05-09 00.00.00.000,9
NULL,Pandora,2021-05-03 00.00.00.000,2021-05-09 00.00.00.000,31
NULL,Panem,2021-05-03 00.00.00.000,2021-05-09 00.00.00.000,1250
NULL,Wakanda,2021-05-03 00.00.00.000,2021-05-09 00.00.00.000,8
Alpha,Agrabah,2021-05-03 00.00.00.000,2021-05-09 00.00.00.000,30
Alpha,Gilead,2021-05-03 00.00.00.000,2021-05-09 00.00.00.000,42
Alpha,Hogwarts,2021-05-03 00.00.00.000,2021-05-09 00.00.00.000,1596
Alpha,Narnia,2021-05-03 00.00.00.000,2021-05-09 00.00.00.000,62
Alpha,Pandora,2021-05-03 00.00.00.000,2021-05-09 00.00.00.000,42
Alpha,Panem,2021-05-03 00.00.00.000,2021-05-09 00.00.00.000,4373
Alpha,Wakanda,2021-05-03 00.00.00.000,2021-05-09 00.00.00.000,25
Beta,Hogwarts,2021-05-03 00.00.00.000,2021-05-09 00.00.00.000,2
Beta,Narnia,2021-05-03 00.00.00.000,2021-05-09 00.00.00.000,1
Beta,Panem,2021-05-03 00.00.00.000,2021-05-09 00.00.00.000,2
Delta,Gilead,2021-05-03 00.00.00.000,2021-05-09 00.00.00.000,3
Delta,Hogwarts,2021-05-03 00.00.00.000,2021-05-09 00.00.00.000,3
Delta,Panem,2021-05-03 00.00.00.000,2021-05-09 00.00.00.000,15
Eta,Panem,2021-05-03 00.00.00.000,2021-05-09 00.00.00.000,2
Gamma,Panem,2021-05-03 00.00.00.000,2021-05-09 00.00.00.000,1
NULL,Agrabah,2021-05-10 00.00.00.000,2021-05-16 00.00.00.000,12
NULL,Gilead,2021-05-10 00.00.00.000,2021-05-16 00.00.00.000,7
NULL,Hogwarts,2021-05-10 00.00.00.000,2021-05-16 00.00.00.000,156
NULL,Narnia,2021-05-10 00.00.00.000,2021-05-16 00.00.00.000,17
NULL,Pandora,2021-05-10 00.00.00.000,2021-05-16 00.00.00.000,20
NULL,Panem,2021-05-10 00.00.00.000,2021-05-16 00.00.00.000,1106
NULL,Wakanda,2021-05-10 00.00.00.000,2021-05-16 00.00.00.000,6
Alpha,Agrabah,2021-05-10 00.00.00.000,2021-05-16 00.00.00.000,38
Alpha,Gilead,2021-05-10 00.00.00.000,2021-05-16 00.00.00.000,15
Alpha,Hogwarts,2021-05-10 00.00.00.000,2021-05-16 00.00.00.000,1149
Alpha,Narnia,2021-05-10 00.00.00.000,2021-05-16 00.00.00.000,86
Alpha,Pandora,2021-05-10 00.00.00.000,2021-05-16 00.00.00.000,62
Alpha,Panem,2021-05-10 00.00.00.000,2021-05-16 00.00.00.000,5102
Alpha,Wakanda,2021-05-10 00.00.00.000,2021-05-16 00.00.00.000,36
Beta,Hogwarts,2021-05-10 00.00.00.000,2021-05-16 00.00.00.000,2
Beta,Panem,2021-05-10 00.00.00.000,2021-05-16 00.00.00.000,2
Delta,Gilead,2021-05-10 00.00.00.000,2021-05-16 00.00.00.000,1
Delta,Hogwarts,2021-05-10 00.00.00.000,2021-05-16 00.00.00.000,6
Delta,Panem,2021-05-10 00.00.00.000,2021-05-16 00.00.00.000,33
Gamma,Panem,2021-05-10 00.00.00.000,2021-05-16 00.00.00.000,2
NULL,Agrabah,2021-05-17 00.00.00.000,2021-05-23 00.00.00.000,7
NULL,Gilead,2021-05-17 00.00.00.000,2021-05-23 00.00.00.000,4
NULL,Hogwarts,2021-05-17 00.00.00.000,2021-05-23 00.00.00.000,542
NULL,Narnia,2021-05-17 00.00.00.000,2021-05-23 00.00.00.000,11
NULL,Pandora,2021-05-17 00.00.00.000,2021-05-23 00.00.00.000,10
NULL,Panem,2021-05-17 00.00.00.000,2021-05-23 00.00.00.000,1128
NULL,Wakanda,2021-05-17 00.00.00.000,2021-05-23 00.00.00.000,12
Alpha,Agrabah,2021-05-17 00.00.00.000,2021-05-23 00.00.00.000,35
Alpha,Asgard,2021-05-17 00.00.00.000,2021-05-23 00.00.00.000,7
Alpha,Gilead,2021-05-17 00.00.00.000,2021-05-23 00.00.00.000,26
Alpha,Hogwarts,2021-05-17 00.00.00.000,2021-05-23 00.00.00.000,2115
Alpha,Narnia,2021-05-17 00.00.00.000,2021-05-23 00.00.00.000,79
Alpha,Pandora,2021-05-17 00.00.00.000,2021-05-23 00.00.00.000,30
Alpha,Panem,2021-05-17 00.00.00.000,2021-05-23 00.00.00.000,3819
Alpha,Wakanda,2021-05-17 00.00.00.000,2021-05-23 00.00.00.000,30
Delta,Hogwarts,2021-05-17 00.00.00.000,2021-05-23 00.00.00.000,3
Delta,Panem,2021-05-17 00.00.00.000,2021-05-23 00.00.00.000,15
Gamma,Asgard,2021-05-17 00.00.00.000,2021-05-23 00.00.00.000,1
Gamma,Hogwarts,2021-05-17 00.00.00.000,2021-05-23 00.00.00.000,6
Gamma,Panem,2021-05-17 00.00.00.000,2021-05-23 00.00.00.000,2
NULL,Agrabah,2021-05-24 00.00.00.000,2021-05-30 00.00.00.000,14
NULL,Asgard,2021-05-24 00.00.00.000,2021-05-30 00.00.00.000,7
NULL,Gilead,2021-05-24 00.00.00.000,2021-05-30 00.00.00.000,7
NULL,Hogwarts,2021-05-24 00.00.00.000,2021-05-30 00.00.00.000,380
NULL,Narnia,2021-05-24 00.00.00.000,2021-05-30 00.00.00.000,7
NULL,Pandora,2021-05-24 00.00.00.000,2021-05-30 00.00.00.000,8
NULL,Panem,2021-05-24 00.00.00.000,2021-05-30 00.00.00.000,791
NULL,Wakanda,2021-05-24 00.00.00.000,2021-05-30 00.00.00.000,12
Alpha,Agrabah,2021-05-24 00.00.00.000,2021-05-30 00.00.00.000,21
Alpha,Asgard,2021-05-24 00.00.00.000,2021-05-30 00.00.00.000,41
Alpha,Gilead,2021-05-24 00.00.00.000,2021-05-30 00.00.00.000,42
Alpha,Hogwarts,2021-05-24 00.00.00.000,2021-05-30 00.00.00.000,2591
Alpha,Narnia,2021-05-24 00.00.00.000,2021-05-30 00.00.00.000,49
Alpha,Pandora,2021-05-24 00.00.00.000,2021-05-30 00.00.00.000,9
Alpha,Panem,2021-05-24 00.00.00.000,2021-05-30 00.00.00.000,3958
Alpha,Wakanda,2021-05-24 00.00.00.000,2021-05-30 00.00.00.000,21
Beta,Hogwarts,2021-05-24 00.00.00.000,2021-05-30 00.00.00.000,2
Beta,Panem,2021-05-24 00.00.00.000,2021-05-30 00.00.00.000,2
Delta,Hogwarts,2021-05-24 00.00.00.000,2021-05-30 00.00.00.000,8
Delta,Narnia,2021-05-24 00.00.00.000,2021-05-30 00.00.00.000,1
Delta,Panem,2021-05-24 00.00.00.000,2021-05-30 00.00.00.000,20
Eta,Hogwarts,2021-05-24 00.00.00.000,2021-05-30 00.00.00.000,1
Gamma,Hogwarts,2021-05-24 00.00.00.000,2021-05-30 00.00.00.000,3
Gamma,Panem,2021-05-24 00.00.00.000,2021-05-30 00.00.00.000,6
NULL,Agrabah,2021-05-31 00.00.00.000,2021-06-06 00.00.00.000,3
NULL,Asgard,2021-05-31 00.00.00.000,2021-06-06 00.00.00.000,2
NULL,Gilead,2021-05-31 00.00.00.000,2021-06-06 00.00.00.000,17
NULL,Hogwarts,2021-05-31 00.00.00.000,2021-06-06 00.00.00.000,519
NULL,Narnia,2021-05-31 00.00.00.000,2021-06-06 00.00.00.000,16
NULL,Neverland,2021-05-31 00.00.00.000,2021-06-06 00.00.00.000,1
NULL,Pandora,2021-05-31 00.00.00.000,2021-06-06 00.00.00.000,6
NULL,Panem,2021-05-31 00.00.00.000,2021-06-06 00.00.00.000,122
NULL,Wakanda,2021-05-31 00.00.00.000,2021-06-06 00.00.00.000,12
Alpha,Agrabah,2021-05-31 00.00.00.000,2021-06-06 00.00.00.000,23
Alpha,Asgard,2021-05-31 00.00.00.000,2021-06-06 00.00.00.000,37
Alpha,Gilead,2021-05-31 00.00.00.000,2021-06-06 00.00.00.000,30
Alpha,Hogwarts,2021-05-31 00.00.00.000,2021-06-06 00.00.00.000,5445
Alpha,Narnia,2021-05-31 00.00.00.000,2021-06-06 00.00.00.000,46
Alpha,Neverland,2021-05-31 00.00.00.000,2021-06-06 00.00.00.000,3
Alpha,Pandora,2021-05-31 00.00.00.000,2021-06-06 00.00.00.000,16
Alpha,Panem,2021-05-31 00.00.00.000,2021-06-06 00.00.00.000,428
Alpha,Wakanda,2021-05-31 00.00.00.000,2021-06-06 00.00.00.000,26
Beta,Hogwarts,2021-05-31 00.00.00.000,2021-06-06 00.00.00.000,1
Delta,Hogwarts,2021-05-31 00.00.00.000,2021-06-06 00.00.00.000,54
Delta,Wakanda,2021-05-31 00.00.00.000,2021-06-06 00.00.00.000,2
Gamma,Hogwarts,2021-05-31 00.00.00.000,2021-06-06 00.00.00.000,8
NULL,Agrabah,2021-06-07 00.00.00.000,2021-06-13 00.00.00.000,1
NULL,Asgard,2021-06-07 00.00.00.000,2021-06-13 00.00.00.000,4
NULL,Gilead,2021-06-07 00.00.00.000,2021-06-13 00.00.00.000,9
NULL,Hogwarts,2021-06-07 00.00.00.000,2021-06-13 00.00.00.000,450
NULL,Narnia,2021-06-07 00.00.00.000,2021-06-13 00.00.00.000,5
NULL,Pandora,2021-06-07 00.00.00.000,2021-06-13 00.00.00.000,9
NULL,Wakanda,2021-06-07 00.00.00.000,2021-06-13 00.00.00.000,2
Alpha,Agrabah,2021-06-07 00.00.00.000,2021-06-13 00.00.00.000,12
Alpha,Asgard,2021-06-07 00.00.00.000,2021-06-13 00.00.00.000,38
Alpha,Gilead,2021-06-07 00.00.00.000,2021-06-13 00.00.00.000,12
Alpha,Hogwarts,2021-06-07 00.00.00.000,2021-06-13 00.00.00.000,3477
Alpha,Narnia,2021-06-07 00.00.00.000,2021-06-13 00.00.00.000,24
Alpha,Pandora,2021-06-07 00.00.00.000,2021-06-13 00.00.00.000,2
Alpha,Wakanda,2021-06-07 00.00.00.000,2021-06-13 00.00.00.000,16
Beta,Hogwarts,2021-06-07 00.00.00.000,2021-06-13 00.00.00.000,1
Delta,Agrabah,2021-06-07 00.00.00.000,2021-06-13 00.00.00.000,1
Delta,Asgard,2021-06-07 00.00.00.000,2021-06-13 00.00.00.000,3
Delta,Hogwarts,2021-06-07 00.00.00.000,2021-06-13 00.00.00.000,71
Delta,Narnia,2021-06-07 00.00.00.000,2021-06-13 00.00.00.000,1
Gamma,Hogwarts,2021-06-07 00.00.00.000,2021-06-13 00.00.00.000,7
NULL,Agrabah,2021-06-14 00.00.00.000,2021-06-20 00.00.00.000,4
NULL,Asgard,2021-06-14 00.00.00.000,2021-06-20 00.00.00.000,3
NULL,Gilead,2021-06-14 00.00.00.000,2021-06-20 00.00.00.000,2
NULL,Hogwarts,2021-06-14 00.00.00.000,2021-06-20 00.00.00.000,238
NULL,Narnia,2021-06-14 00.00.00.000,2021-06-20 00.00.00.000,2
NULL,Pandora,2021-06-14 00.00.00.000,2021-06-20 00.00.00.000,4
NULL,Wakanda,2021-06-14 00.00.00.000,2021-06-20 00.00.00.000,7
Alpha,Agrabah,2021-06-14 00.00.00.000,2021-06-20 00.00.00.000,6
Alpha,Asgard,2021-06-14 00.00.00.000,2021-06-20 00.00.00.000,33
Alpha,Gilead,2021-06-14 00.00.00.000,2021-06-20 00.00.00.000,5
Alpha,Hogwarts,2021-06-14 00.00.00.000,2021-06-20 00.00.00.000,1634
Alpha,Narnia,2021-06-14 00.00.00.000,2021-06-20 00.00.00.000,16
Alpha,Pandora,2021-06-14 00.00.00.000,2021-06-20 00.00.00.000,5
Alpha,Wakanda,2021-06-14 00.00.00.000,2021-06-20 00.00.00.000,8
Beta,Hogwarts,2021-06-14 00.00.00.000,2021-06-20 00.00.00.000,1
Delta,Agrabah,2021-06-14 00.00.00.000,2021-06-20 00.00.00.000,1
Delta,Asgard,2021-06-14 00.00.00.000,2021-06-20 00.00.00.000,3
Delta,Gilead,2021-06-14 00.00.00.000,2021-06-20 00.00.00.000,1
Delta,Hogwarts,2021-06-14 00.00.00.000,2021-06-20 00.00.00.000,128
Delta,Narnia,2021-06-14 00.00.00.000,2021-06-20 00.00.00.000,3
Gamma,Hogwarts,2021-06-14 00.00.00.000,2021-06-20 00.00.00.000,10
NULL,Agrabah,2021-06-21 00.00.00.000,2021-06-27 00.00.00.000,3
NULL,Asgard,2021-06-21 00.00.00.000,2021-06-27 00.00.00.000,1
NULL,Gilead,2021-06-21 00.00.00.000,2021-06-27 00.00.00.000,6
NULL,Hogwarts,2021-06-21 00.00.00.000,2021-06-27 00.00.00.000,261
NULL,Narnia,2021-06-21 00.00.00.000,2021-06-27 00.00.00.000,3
NULL,Pandora,2021-06-21 00.00.00.000,2021-06-27 00.00.00.000,10
NULL,Wakanda,2021-06-21 00.00.00.000,2021-06-27 00.00.00.000,7
Alpha,Agrabah,2021-06-21 00.00.00.000,2021-06-27 00.00.00.000,4
Alpha,Asgard,2021-06-21 00.00.00.000,2021-06-27 00.00.00.000,11
Alpha,Gilead,2021-06-21 00.00.00.000,2021-06-27 00.00.00.000,3
Alpha,Hogwarts,2021-06-21 00.00.00.000,2021-06-27 00.00.00.000,988
Alpha,Narnia,2021-06-21 00.00.00.000,2021-06-27 00.00.00.000,6
Alpha,Pandora,2021-06-21 00.00.00.000,2021-06-27 00.00.00.000,4
Alpha,Wakanda,2021-06-21 00.00.00.000,2021-06-27 00.00.00.000,14
Beta,Hogwarts,2021-06-21 00.00.00.000,2021-06-27 00.00.00.000,4
Delta,Agrabah,2021-06-21 00.00.00.000,2021-06-27 00.00.00.000,1
Delta,Asgard,2021-06-21 00.00.00.000,2021-06-27 00.00.00.000,7
Delta,Hogwarts,2021-06-21 00.00.00.000,2021-06-27 00.00.00.000,314
Delta,Narnia,2021-06-21 00.00.00.000,2021-06-27 00.00.00.000,6
Delta,Pandora,2021-06-21 00.00.00.000,2021-06-27 00.00.00.000,7
Gamma,Hogwarts,2021-06-21 00.00.00.000,2021-06-27 00.00.00.000,7
NULL,Asgard,2021-06-28 00.00.00.000,2021-07-04 00.00.00.000,3
NULL,Gilead,2021-06-28 00.00.00.000,2021-07-04 00.00.00.000,5
NULL,Hogwarts,2021-06-28 00.00.00.000,2021-07-04 00.00.00.000,486
NULL,Narnia,2021-06-28 00.00.00.000,2021-07-04 00.00.00.000,7
NULL,Pandora,2021-06-28 00.00.00.000,2021-07-04 00.00.00.000,4
NULL,Wakanda,2021-06-28 00.00.00.000,2021-07-04 00.00.00.000,1
Alpha,Asgard,2021-06-28 00.00.00.000,2021-07-04 00.00.00.000,6
Alpha,Gilead,2021-06-28 00.00.00.000,2021-07-04 00.00.00.000,3
Alpha,Hogwarts,2021-06-28 00.00.00.000,2021-07-04 00.00.00.000,1179
Alpha,Narnia,2021-06-28 00.00.00.000,2021-07-04 00.00.00.000,3
Alpha,Pandora,2021-06-28 00.00.00.000,2021-07-04 00.00.00.000,5
Alpha,Wakanda,2021-06-28 00.00.00.000,2021-07-04 00.00.00.000,3
Beta,Hogwarts,2021-06-28 00.00.00.000,2021-07-04 00.00.00.000,14
Delta,Agrabah,2021-06-28 00.00.00.000,2021-07-04 00.00.00.000,1
Delta,Asgard,2021-06-28 00.00.00.000,2021-07-04 00.00.00.000,11
Delta,Gilead,2021-06-28 00.00.00.000,2021-07-04 00.00.00.000,5
Delta,Hogwarts,2021-06-28 00.00.00.000,2021-07-04 00.00.00.000,1886
Delta,Narnia,2021-06-28 00.00.00.000,2021-07-04 00.00.00.000,8
Delta,Pandora,2021-06-28 00.00.00.000,2021-07-04 00.00.00.000,9
Delta,Wakanda,2021-06-28 00.00.00.000,2021-07-04 00.00.00.000,5
Gamma,Hogwarts,2021-06-28 00.00.00.000,2021-07-04 00.00.00.000,5
NULL,Asgard,2021-07-05 00.00.00.000,2021-07-11 00.00.00.000,16
NULL,Gilead,2021-07-05 00.00.00.000,2021-07-11 00.00.00.000,1
NULL,Hogwarts,2021-07-05 00.00.00.000,2021-07-11 00.00.00.000,794
NULL,Narnia,2021-07-05 00.00.00.000,2021-07-11 00.00.00.000,3
NULL,Pandora,2021-07-05 00.00.00.000,2021-07-11 00.00.00.000,6
NULL,Wakanda,2021-07-05 00.00.00.000,2021-07-11 00.00.00.000,6
Alpha,Asgard,2021-07-05 00.00.00.000,2021-07-11 00.00.00.000,8
Alpha,Gilead,2021-07-05 00.00.00.000,2021-07-11 00.00.00.000,1
Alpha,Hogwarts,2021-07-05 00.00.00.000,2021-07-11 00.00.00.000,660
Alpha,Narnia,2021-07-05 00.00.00.000,2021-07-11 00.00.00.000,4
Alpha,Pandora,2021-07-05 00.00.00.000,2021-07-11 00.00.00.000,2
Alpha,Wakanda,2021-07-05 00.00.00.000,2021-07-11 00.00.00.000,1
