Nextclade_pango,clade,lineage,UnaliasedPango,LineagesOfInterest,WhoVariant,amount_nextclade_pangos
BA.1.1.4,21K (Omicron),BA.1.1,B.1.1.529.1.1.4,BA.1,Omicron,1
AY.4,21J (Delta),AY.4.5,B.1.617.2.4,Delta,Delta,9
AY.5.5,21J (Delta),AY.5.5,B.1.617.2.5.5,Delta,Delta,48
AY.23.2,21J (Delta),AY.23.2,B.1.617.2.23.2,Delta,Delta,31
A.23.1,19B,A.23.1,A.23.1,NULL,NULL,10
BA.2.9.2,21L (Omicron),BA.2.9,B.1.1.529.2.9.2,BA.2,Omicron,2
B.1.177.60,20E (EU1),B.1.177.60,B.1.177.60,NULL,NULL,867
B.1.1.1,20D,C.20,B.1.1.1,NULL,NULL,1
BA.1.17,21K (Omicron),BA.1.17.2,B.1.1.529.1.17,BA.1,Omicron,309
B.1.177.35,20E (EU1),B.1.177.42,B.1.177.35,NULL,NULL,1205
AY.124.1,21J (Delta),AY.124.1,B.1.617.2.124.1,Delta,Delta,75
B.1.177.32,20E (EU1),B.1.177.32,B.1.177.32,NULL,NULL,15
B.1.177.75,20E (EU1),B.1.177.75,B.1.177.75,NULL,NULL,6
BA.2,21L (Omicron),BA.2.65,B.1.1.529.2,BA.2,Omicron,1
B.1,20A,B.1.1.377,B.1,NULL,NULL,33
AY.43,21J (Delta),AY.43.4,B.1.617.2.43,Delta,Delta,1
B.1.617.2,21A (Delta),AY.9.2,B.1.617.2,Delta,Delta,8
BA.1.15,21K (Omicron),BA.1,B.1.1.529.1.15,BA.1,Omicron,2
B,19A,B,B,NULL,NULL,59
B.1,20A,B.1.177.35,B.1,NULL,NULL,2
BA.1,21K (Omicron),BA.2,B.1.1.529.1,BA.1,Omicron,1
BA.2.65,21L (Omicron),BA.2.65,B.1.1.529.2.65,BA.2,Omicron,107
BA.2.56,21L (Omicron),BA.2,B.1.1.529.2.56,BA.2,Omicron,25
B.1.1.371,20B,B.1.1,B.1.1.371,NULL,NULL,2
B.1.222,20A,B.1.258,B.1.222,NULL,NULL,4
B.1.1.485,20B,B.1.1.485,B.1.1.485,NULL,NULL,3
BA.2.14,21L (Omicron),BA.2,B.1.1.529.2.14,BA.2,Omicron,1
B.1.617.2,21J (Delta),AY.125,B.1.617.2,Delta,Delta,50
NULL,NULL,BA.2,NULL,NULL,NULL,2
B.1.177,20E (EU1),B.1.177.35,B.1.177,NULL,NULL,21
B.1.1.1,20D,C.18,B.1.1.1,NULL,NULL,1
BA.1.9,21K (Omicron),BA.1.13,B.1.1.529.1.9,BA.1,Omicron,1
BA.2.3.15,21L (Omicron),BA.2.3.15,B.1.1.529.2.3.15,BA.2,Omicron,1
B.1.1.274,20B,B.1.1,B.1.1.274,NULL,NULL,17
BA.3,21M (Omicron),BA.3.1,B.1.1.529.3,Omicron,Omicron,2
A.28,19B,A.28,A.28,NULL,NULL,9
AY.57,21I (Delta),AY.57,B.1.617.2.57,Delta,Delta,6
AY.25,21J (Delta),AY.25.1,B.1.617.2.25,Delta,Delta,2
B.1.1.1,20D,C.30.1,B.1.1.1,NULL,NULL,286
B.1.617.2,21J (Delta),AY.122,B.1.617.2,Delta,Delta,257
BA.1.19,21K (Omicron),BA.1,B.1.1.529.1.19,BA.1,Omicron,3
B.1.575.1,20C,B.1.575.1,B.1.575.1,NULL,NULL,4
XM,recombinant,B.1.1.529,XM,NULL,NULL,1
B.1.214.2,20A,B.1,B.1.214.2,NULL,NULL,1
BA.3,21M (Omicron),BA.3,B.1.1.529.3,Omicron,Omicron,6
AY.7.2,21J (Delta),AY.7.2,B.1.617.2.7.2,Delta,Delta,140
B.1.617.2,21J (Delta),AY.5,B.1.617.2,Delta,Delta,24
B.1.1.10,20B,B.1.1.10,B.1.1.10,NULL,NULL,1
AY.120.2,21J (Delta),AY.120.2,B.1.617.2.120.2,Delta,Delta,1
BA.1,21K (Omicron),BA.1.13,B.1.1.529.1,BA.1,Omicron,4
B.1.36,20A,B.1.36.25,B.1.36,NULL,NULL,588
AY.124.1,21J (Delta),AY.124.1.1,B.1.617.2.124.1,Delta,Delta,9
BA.3.1,21M (Omicron),BA.3.1,B.1.1.529.3.1,Omicron,Omicron,11
BA.1.7,21K (Omicron),BA.1.21,B.1.1.529.1.7,BA.1,Omicron,2
B.1.177,20E (EU1),B.1.177.50,B.1.177,NULL,NULL,2
BA.2.31,21L (Omicron),BA.2,B.1.1.529.2.31,BA.2,Omicron,7
C.16,20D,C.16,B.1.1.1.16,NULL,NULL,33
AY.13,21A (Delta),AY.13,B.1.617.2.13,Delta,Delta,7
AY.124,21J (Delta),B.1.617.2,B.1.617.2.124,Delta,Delta,1
B.1.1.141,20B,B.1.1.141,B.1.1.141,NULL,NULL,3
BA.1.15.1,21K (Omicron),BA.1.15,B.1.1.529.1.15.1,BA.1,Omicron,3
B.1.1.44,20B,B.1.1.44,B.1.1.44,NULL,NULL,12
B.1.1.39,20B,B.1.1.39,B.1.1.39,NULL,NULL,40
AY.119,21J (Delta),AY.119,B.1.617.2.119,Delta,Delta,68
AY.34,21J (Delta),AY.34,B.1.617.2.34,Delta,Delta,282
B.1.1.529,21M (Omicron),B.1.1.529,B.1.1.529,Omicron,Omicron,40
C.36.3,20D,C.17,B.1.1.1.36.3,NULL,NULL,17
BA.1.1,21K (Omicron),BA.1.1.16,B.1.1.529.1.1,BA.1,Omicron,2
B.1,20A,B.1.1.70,B.1,NULL,NULL,5
B.1,20C,B.1.118,B.1,NULL,NULL,1
AY.43,21J (Delta),B.1.1,B.1.617.2.43,Delta,Delta,1
BA.2.40.1,21L (Omicron),BA.2.40.1,B.1.1.529.2.40.1,BA.2,Omicron,1
B.1,20A,B.1.406,B.1,NULL,NULL,37
AY.4.15,21J (Delta),AY.4.15,B.1.617.2.4.15,Delta,Delta,1621
B.1.1.7,20I (Alpha; V1),Q.4,B.1.1.7,Alpha,Alpha,66
C.1.2,20D,C.1.2,B.1.1.1.1.2,NULL,NULL,2
AY.98.1,21J (Delta),AY.98.1,B.1.617.2.98.1,Delta,Delta,2343
AY.4.3,21J (Delta),AY.4.3,B.1.617.2.4.3,Delta,Delta,68
B.1.177.60,20E (EU1),B.1.177,B.1.177.60,NULL,NULL,4
AY.4,21J (Delta),AY.4.2.3,B.1.617.2.4,Delta,Delta,3
BA.2,21L (Omicron),BA.2.45,B.1.1.529.2,BA.2,Omicron,2
B.1.1.391,20B,B.1.1.288,B.1.1.391,NULL,NULL,5
B.1.1,20B,B.1.1.27,B.1.1,NULL,NULL,1
B.1,20A,B.1,B.1,NULL,NULL,1959
B.1.234,20A,B.1.234,B.1.234,NULL,NULL,8
B.1,20A,B.1.1.168,B.1,NULL,NULL,1
AY.108,21J (Delta),AY.108,B.1.617.2.108,Delta,Delta,153
BA.1.1.14,21K (Omicron),BA.1.1.14,B.1.1.529.1.1.14,BA.1,Omicron,65
XM,recombinant,XM,XM,NULL,NULL,2
BA.2.5,21L (Omicron),BA.2,B.1.1.529.2.5,BA.2,Omicron,1
B.1.617,20A,B.1.1,B.1.617,NULL,NULL,1
P.1.15,20J (Gamma; V3),P.1.15,B.1.1.28.1.15,Gamma,Gamma,10
BA.2,21L (Omicron),BA.2.3,B.1.1.529.2,BA.2,Omicron,5
XN,recombinant,BA.2,XN,NULL,NULL,4
B.1.617.2,21J (Delta),AY.134,B.1.617.2,Delta,Delta,6
B.1,20A,B.1.36.8,B.1,NULL,NULL,1
B.1,20C,B.1.498,B.1,NULL,NULL,5
B.1.1.198,20B,B.1.1,B.1.1.198,NULL,NULL,2
BA.1.9,21K (Omicron),BA.1,B.1.1.529.1.9,BA.1,Omicron,407
B.1,20A,D.5,B.1,NULL,NULL,3
AY.10,21I (Delta),AY.10,B.1.617.2.10,Delta,Delta,2
BA.2.23,21L (Omicron),BA.2,B.1.1.529.2.23,BA.2,Omicron,149
B.1.1.521,20B,B.1.1.521,B.1.1.521,NULL,NULL,12
AY.71,21I (Delta),AY.71,B.1.617.2.71,Delta,Delta,5
B.1.214,20A,B.1,B.1.214,NULL,NULL,4
BA.2,21L (Omicron),BA.2.22,B.1.1.529.2,BA.2,Omicron,1
B.1.1.117,20B,B.1.1,B.1.1.117,NULL,NULL,1
B.1.617.2,21J (Delta),AY.6,B.1.617.2,Delta,Delta,6
B.1,20C,B.1,B.1,NULL,NULL,15
AY.121.1,21J (Delta),AY.121.1,B.1.617.2.121.1,Delta,Delta,445
B.1.416,20A,B.1.416,B.1.416,NULL,NULL,1
B.1.617.2,21A (Delta),AY.52,B.1.617.2,Delta,Delta,1
AY.98.1.1,21J (Delta),AY.98.1.1,B.1.617.2.98.1.1,Delta,Delta,118
B.1.258,20A,B.1.258.15,B.1.258,NULL,NULL,132
B.1.36.8,20A,B.1.36.8,B.1.36.8,NULL,NULL,92
B.1.1.529,21M (Omicron),BA.1.1,B.1.1.529,Omicron,Omicron,19
B.1.617.2,21J (Delta),AY.98.1,B.1.617.2,Delta,Delta,4
AY.134,21J (Delta),B.1.617.2,B.1.617.2.134,Delta,Delta,226
BA.1.9,21K (Omicron),BA.1.17,B.1.1.529.1.9,BA.1,Omicron,6
BA.1.1,21K (Omicron),BA.1,B.1.1.529.1.1,BA.1,Omicron,21
B.1.617.2,21A (Delta),AY.125,B.1.617.2,Delta,Delta,1
BA.2.10.1,21L (Omicron),BA.2.10.1,B.1.1.529.2.10.1,BA.2,Omicron,9
BA.1.15.3,21K (Omicron),BA.1.15,B.1.1.529.1.15.3,BA.1,Omicron,2
B.1.1,20B,B.1.1.261,B.1.1,NULL,NULL,1
B.1.177,20E (EU1),B.1.177.76,B.1.177,NULL,NULL,648
B.1.177,20E (EU1),B.1.177.39,B.1.177,NULL,NULL,28
BA.1.16,21K (Omicron),BA.1.1,B.1.1.529.1.16,BA.1,Omicron,1
B.1,20A,B.1.177.60,B.1,NULL,NULL,1
AY.99,21J (Delta),AY.99,B.1.617.2.99,Delta,Delta,2
B.1.177,20E (EU1),B.1.177.11,B.1.177,NULL,NULL,1
B.1.177.77,20E (EU1),B.1.177.77,B.1.177.77,NULL,NULL,342
XM,recombinant,BA.2,XM,NULL,NULL,16
AY.80,21J (Delta),AY.80,B.1.617.2.80,Delta,Delta,1353
B.1.258,20A,B.1,B.1.258,NULL,NULL,124
B.1,20A,BA.2,B.1,NULL,NULL,11
BD.1,21K (Omicron),BD.1,B.1.1.529.1.17.2.1,BA.1,Omicron,5
AY.9,21I (Delta),AY.9.2,B.1.617.2.9,Delta,Delta,1
AY.121,21J (Delta),AY.121.1,B.1.617.2.121,Delta,Delta,1
AY.98,21J (Delta),AY.4,B.1.617.2.98,Delta,Delta,1
BA.1,21K (Omicron),BA.1.18,B.1.1.529.1,BA.1,Omicron,6
B.1.1.529,21M (Omicron),BA.1.17.2,B.1.1.529,Omicron,Omicron,7
AY.7.1,21J (Delta),AY.7.1,B.1.617.2.7.1,Delta,Delta,8877
B.1.1.70,20B,B.1.1.70,B.1.1.70,Alpha,Alpha,959
B.1.177,20E (EU1),B.1.177.70,B.1.177,NULL,NULL,230
BA.2.6,21L (Omicron),BA.2.9,B.1.1.529.2.6,BA.2,Omicron,2
B.1.1.203,20B,B.1.1.191,B.1.1.203,NULL,NULL,1
AY.127,21J (Delta),AY.127,B.1.617.2.127,Delta,Delta,3454
AY.43,21J (Delta),AY.43.3,B.1.617.2.43,Delta,Delta,12
B.1.36,20A,B.1.36.17,B.1.36,NULL,NULL,8
AY.120,21J (Delta),B.1.617.2,B.1.617.2.120,Delta,Delta,15
B.1.617,20A,AY.1,B.1.617,NULL,NULL,1
B.1.1.174,20B,B.1.1,B.1.1.174,NULL,NULL,2
B.1.565,20A,B.1.565,B.1.565,NULL,NULL,52
AD.2,20B,AD.1,B.1.1.315.2,NULL,NULL,406
AY.4,21J (Delta),AY.4.2,B.1.617.2.4,Delta,Delta,11
AY.34,21J (Delta),AY.34.1,B.1.617.2.34,Delta,Delta,4
P.1.17,20J (Gamma; V3),P.1.17,B.1.1.28.1.17,Gamma,Gamma,4
BA.2.5,21L (Omicron),BA.2.5,B.1.1.529.2.5,BA.2,Omicron,9
AY.4.9,21J (Delta),AY.4.9,B.1.617.2.4.9,Delta,Delta,38
B.1.1.397,20B,B.1.1.397,B.1.1.397,NULL,NULL,10
BA.2.9,21L (Omicron),BA.2.9.3,B.1.1.529.2.9,BA.2,Omicron,84
B.1.351.3,20H (Beta; V2),B.1.351.3,B.1.351.3,Beta,Beta,10
AY.91,21J (Delta),AY.91,B.1.617.2.91,Delta,Delta,5
B.1.1.529,21M (Omicron),BA.2,B.1.1.529,Omicron,Omicron,462
BA.2.47,21L (Omicron),BA.2.47,B.1.1.529.2.47,BA.2,Omicron,75
B.1.36.9,20A,B.1.36,B.1.36.9,NULL,NULL,16
B.1,20A,B.1.343,B.1,NULL,NULL,1
B.1.177.60,20E (EU1),U.2,B.1.177.60,NULL,NULL,120
BA.2,21L (Omicron),BA.2.56,B.1.1.529.2,BA.2,Omicron,3
AY.24,21I (Delta),AY.24,B.1.617.2.24,Delta,Delta,14
B.1,20A,AY.43.6,B.1,NULL,NULL,2
B.1.1,20B,B.1.1.189,B.1.1,NULL,NULL,2
B.1.617.2,21A (Delta),AY.70,B.1.617.2,Delta,Delta,1
AY.134,21J (Delta),AY.134,B.1.617.2.134,Delta,Delta,998
B.1.1.523,20B,B.1.1.523,B.1.1.523,NULL,NULL,8
AY.25,21J (Delta),AY.25,B.1.617.2.25,Delta,Delta,37
BA.2.65,21L (Omicron),BA.2,B.1.1.529.2.65,BA.2,Omicron,88
B.1.258,20A,B.1.258.19,B.1.258,NULL,NULL,181
B.1.1.243,20B,B.1.1.243,B.1.1.243,NULL,NULL,14
B.1.1,20B,B.1.1.430,B.1.1,NULL,NULL,2
B.1.617.2,21I (Delta),B.1.617.2,B.1.617.2,Delta,Delta,1655
XV,recombinant,B.1.1.529,XV,NULL,NULL,1
B.1.1.371,20B,B.1.1.153,B.1.1.371,NULL,NULL,3
AY.120.2,21J (Delta),AY.120.2.1,B.1.617.2.120.2,Delta,Delta,4
B.1.177,20E (EU1),B.1.177.51,B.1.177,NULL,NULL,6
B.1.1.117,20B,B.1.1.58,B.1.1.117,NULL,NULL,2
AY.58,21I (Delta),AY.58,B.1.617.2.58,Delta,Delta,17
B.1.177,20E (EU1),B.1.177.46,B.1.177,NULL,NULL,1
AY.74,21I (Delta),AY.74,B.1.617.2.74,Delta,Delta,1
B.1.179,20A,B.1.213,B.1.179,NULL,NULL,1
AY.34.2,21J (Delta),AY.34.2,B.1.617.2.34.2,Delta,Delta,4
B.1.258.3,20A,B.1,B.1.258.3,NULL,NULL,156
B.1.617.2,21A (Delta),AY.43,B.1.617.2,Delta,Delta,3
B.1.177,20E (EU1),B.1.177.12,B.1.177,NULL,NULL,77
AY.120.2.1,21J (Delta),AY.120,B.1.617.2.120.2.1,Delta,Delta,146
BA.2,21L (Omicron),BA.2.25,B.1.1.529.2,BA.2,Omicron,13
B.1.1,20B,B.1.1.272,B.1.1,NULL,NULL,164
B.1.177.81,20E (EU1),B.1.177.81,B.1.177.81,NULL,NULL,289
B.1,20A,BA.1,B.1,NULL,NULL,24
B.1.617.2,21J (Delta),AY.120,B.1.617.2,Delta,Delta,9
B.1.351.5,20H (Beta; V2),B.1.351.5,B.1.351.5,Beta,Beta,3
B.1.525,21D (Eta),B.1.525,B.1.525,Eta,Eta,821
AY.25,21J (Delta),AY.25.3,B.1.617.2.25,Delta,Delta,1
B.1,20A,B.1.36.31,B.1,NULL,NULL,1
B.1.499,20C,B.1.499,B.1.499,NULL,NULL,2
BA.1.15.1,21K (Omicron),BA.1,B.1.1.529.1.15.1,BA.1,Omicron,1
B.1,20A,B.1.1.277,B.1,NULL,NULL,1
B.1.617.2,21J (Delta),AY.33,B.1.617.2,Delta,Delta,43
AY.42,21J (Delta),AY.42,B.1.617.2.42,Delta,Delta,2068
B.1.1.529,21M (Omicron),BA.1,B.1.1.529,Omicron,Omicron,58
B.1.9,20A,B.1.9.5,B.1.9,NULL,NULL,12
BA.1,21K (Omicron),BA.1.20,B.1.1.529.1,BA.1,Omicron,1
B.1.617.2,21I (Delta),AY.9,B.1.617.2,Delta,Delta,2
XD,recombinant,XD,XD,NULL,NULL,16
AY.124,21J (Delta),AY.124,B.1.617.2.124,Delta,Delta,400
BA.1,21K (Omicron),BA.1.14.2,B.1.1.529.1,BA.1,Omicron,5
BA.1,21K (Omicron),BA.1.1.1,B.1.1.529.1,BA.1,Omicron,30
B.1,20A,B.1.177,B.1,NULL,NULL,9
BA.1.10,21K (Omicron),BA.1.18,B.1.1.529.1.10,BA.1,Omicron,63
B.1.469,20A,B.1.469,B.1.469,NULL,NULL,26
BA.1.13.1,21K (Omicron),BA.1.13.1,B.1.1.529.1.13.1,BA.1,Omicron,1
XAF,recombinant,BA.2,XAF,NULL,NULL,8
B.1.441,20A,B.1.441,B.1.441,NULL,NULL,3
BA.1.1.11,21K (Omicron),BA.1.1.11,B.1.1.529.1.1.11,BA.1,Omicron,41
B.1.1.529,21M (Omicron),BA.2.9,B.1.1.529,Omicron,Omicron,3
B.1.1.301,20B,B.1.1.301,B.1.1.301,NULL,NULL,1
B.1.617.2,21J (Delta),AY.121.1,B.1.617.2,Delta,Delta,1
AY.2,21I (Delta),AY.2,B.1.617.2.2,Delta,Delta,2
B.1.1,20B,B.1.1.70,B.1.1,NULL,NULL,1
AY.34.1,21J (Delta),AY.34.1,B.1.617.2.34.1,Delta,Delta,161
C.35,20D,C.35,B.1.1.1.35,NULL,NULL,127
BA.1.17.2,21K (Omicron),BA.1.17,B.1.1.529.1.17.2,BA.1,Omicron,2
B.1.617.2,21I (Delta),AY.72,B.1.617.2,Delta,Delta,1
B.1,20A,B.1.258.19,B.1,NULL,NULL,1
B.1,20A,BA.2.9,B.1,NULL,NULL,1
BA.2.7,21L (Omicron),BA.2,B.1.1.529.2.7,BA.2,Omicron,3
B.1.177.7,20E (EU1),B.1.177.7,B.1.177.7,NULL,NULL,3
B.1.468,20A,B.1.36.20,B.1.468,NULL,NULL,1
B.1.617.2,21A (Delta),AY.60,B.1.617.2,Delta,Delta,1
BA.1,21K (Omicron),BA.1.9,B.1.1.529.1,BA.1,Omicron,1
B.1.468,20A,B.1.36.25,B.1.468,NULL,NULL,8
B.1.617.2,21J (Delta),AY.4,B.1.617.2,Delta,Delta,2841
B.1.1,20B,D.5,B.1.1,NULL,NULL,79
AY.98,21J (Delta),AY.98,B.1.617.2.98,Delta,Delta,307
B.1.177,20E (EU1),B.1.177.40,B.1.177,NULL,NULL,25
BA.2,21L (Omicron),BA.2.49,B.1.1.529.2,BA.2,Omicron,1
AY.8,21A (Delta),AY.8,B.1.617.2.8,Delta,Delta,1
B.1.617.2,21J (Delta),AY.25,B.1.617.2,Delta,Delta,1
B.1.177.15,20E (EU1),AA.1,B.1.177.15,NULL,NULL,1
AY.25.1,21J (Delta),AY.25.1,B.1.617.2.25.1,Delta,Delta,74
AY.110,21J (Delta),B.1.617.2,B.1.617.2.110,Delta,Delta,3
B.1.617.2,21I (Delta),AY.55,B.1.617.2,Delta,Delta,1
B.1.617.2,21J (Delta),AY.4.10,B.1.617.2,Delta,Delta,2
BA.1.13,21K (Omicron),BA.1.13,B.1.1.529.1.13,BA.1,Omicron,148
BA.1.18,21K (Omicron),BA.1.17.2,B.1.1.529.1.18,BA.1,Omicron,3
B.1.160,20A,B.1.160.24,B.1.160,NULL,NULL,256
B.1,20A,B.1.1.7,B.1,NULL,NULL,13
BA.1.24,21K (Omicron),BA.1,B.1.1.529.1.24,BA.1,Omicron,2
B.1.525,21D (Eta),B.1,B.1.525,Eta,Eta,4
B.1.1.153,20B,B.1,B.1.1.153,NULL,NULL,1
B.1.617.2,21J (Delta),B.1.1,B.1.617.2,Delta,Delta,1
B.1.1.354,20B,B.1.1.354,B.1.1.354,NULL,NULL,2
B.1.1,20B,B.1.534,B.1.1,NULL,NULL,97
AY.54,21A (Delta),AY.54,B.1.617.2.54,Delta,Delta,12
Q.1,20I (Alpha; V1),B.1.1,B.1.1.7.1,Alpha,Alpha,1
B.1.596,20A,B.1.2,B.1.596,NULL,NULL,1
B.1.617.2,21J (Delta),AY.120.2.1,B.1.617.2,Delta,Delta,1
AY.43.3,21J (Delta),AY.43.3,B.1.617.2.43.3,Delta,Delta,160
B.1.617.2,21J (Delta),AY.4.4,B.1.617.2,Delta,Delta,1
B.1.1.277,20B,B.1,B.1.1.277,NULL,NULL,4
B.1.617.2,21A (Delta),AY.46,B.1.617.2,Delta,Delta,1
B.1.258,20A,B.1.258.16,B.1.258,NULL,NULL,767
AY.46,21J (Delta),AY.46,B.1.617.2.46,Delta,Delta,2960
BA.1.10,21K (Omicron),BA.1.10,B.1.1.529.1.10,BA.1,Omicron,13
B.1.177,20E (EU1),B.1.177.81,B.1.177,NULL,NULL,1
AY.122.4,21J (Delta),AY.122.4,B.1.617.2.122.4,Delta,Delta,2
B.1.1.174,20B,B.1.1.277,B.1.1.174,NULL,NULL,12
B.1.177,20E (EU1),B.1.177.41,B.1.177,NULL,NULL,208
B.1.1.371,20B,B.1.1.371,B.1.1.371,NULL,NULL,6
C.37.1,21G (Lambda),C.37.1,B.1.1.1.37.1,NULL,NULL,11
B.1.1,20B,B.1.1.347,B.1.1,NULL,NULL,2
B.1.617.2,21J (Delta),AY.106,B.1.617.2,Delta,Delta,4
AY.4.10,21J (Delta),AY.4.10,B.1.617.2.4.10,Delta,Delta,1232
B.1.558,20A,B.1,B.1.558,NULL,NULL,30
BA.2,21L (Omicron),BA.2.47,B.1.1.529.2,BA.2,Omicron,2
B.1,20A,B.1.389,B.1,NULL,NULL,1
B.1.416.1,20A,B.1.416.1,B.1.416.1,NULL,NULL,4
B.1.1.433,20B,B.1,B.1.1.433,NULL,NULL,1
AY.43.9,21J (Delta),AY.43.9,B.1.617.2.43.9,Delta,Delta,29
AY.4.5,21J (Delta),AY.4.5,B.1.617.2.4.5,Delta,Delta,1517
P.2,20B,P.2,B.1.1.28.2,Gamma,Gamma,25
B.1.1.7,20I (Alpha; V1),B.1.1.7,B.1.1.7,Alpha,Alpha,84851
BA.1.1,21K (Omicron),BA.1.1.1,B.1.1.529.1.1,BA.1,Omicron,24
BA.1.14,21K (Omicron),BA.1,B.1.1.529.1.14,BA.1,Omicron,3
AY.73,21I (Delta),AY.73,B.1.617.2.73,Delta,Delta,64
AY.9.2,21I (Delta),AY.9,B.1.617.2.9.2,Delta,Delta,3
B.1.617,20A,AY.43,B.1.617,NULL,NULL,1
AY.105,21J (Delta),B.1.617.2,B.1.617.2.105,Delta,Delta,7
B.1,20A,B.1.160.8,B.1,NULL,NULL,1
B.1,20A,B.1.1.272,B.1,NULL,NULL,1
BA.2.9,21L (Omicron),BA.2.3,B.1.1.529.2.9,BA.2,Omicron,1
B.1.177.57,20E (EU1),B.1.177.57,B.1.177.57,NULL,NULL,2
B.1.1,20B,BA.1,B.1.1,NULL,NULL,8
B.1.471,20A,B.1.471,B.1.471,NULL,NULL,21
BA.2.7,21L (Omicron),BA.2.9,B.1.1.529.2.7,BA.2,Omicron,2
AY.122.1,21J (Delta),AY.122.1,B.1.617.2.122.1,Delta,Delta,11
B.1.617.2,21J (Delta),AY.122.3,B.1.617.2,Delta,Delta,5
BA.2.3,21L (Omicron),BA.2.3.2,B.1.1.529.2.3,BA.2,Omicron,1
B.1.177.46,20E (EU1),B.1.1,B.1.177.46,NULL,NULL,2
AY.106,21J (Delta),AY.106,B.1.617.2.106,Delta,Delta,228
B.1.160,20A,B.1.160.8,B.1.160,NULL,NULL,921
B.1.9,20A,B.1.9.4,B.1.9,NULL,NULL,3
BA.2.56,21L (Omicron),BA.2.56,B.1.1.529.2.56,BA.2,Omicron,1
B.1,20A,B.1.1.529,B.1,NULL,NULL,6
BA.2,21L (Omicron),BA.2.23,B.1.1.529.2,BA.2,Omicron,1
AY.4,21J (Delta),AY.4.14,B.1.617.2.4,Delta,Delta,4
B.1,20A,B.1.1.425,B.1,NULL,NULL,1
AY.4.4,21J (Delta),AY.4.4,B.1.617.2.4.4,Delta,Delta,237
B.1,20A,B.1.179,B.1,NULL,NULL,1
AY.122.3,21J (Delta),AY.122.3,B.1.617.2.122.3,Delta,Delta,1409
B.1.1,20B,B.1.1.1,B.1.1,NULL,NULL,1
AY.5.1,21J (Delta),AY.5.1,B.1.617.2.5.1,Delta,Delta,1
B.1.617.2,21A (Delta),AY.4,B.1.617.2,Delta,Delta,2
B.1.258.14,20A,B.1.258.14,B.1.258.14,NULL,NULL,5
AY.63,21I (Delta),AY.63,B.1.617.2.63,Delta,Delta,13
BA.2.6,21L (Omicron),BA.2.6,B.1.1.529.2.6,BA.2,Omicron,14
B.1.617.2,21J (Delta),AY.4.15,B.1.617.2,Delta,Delta,2
B.1.617.1,21B (Kappa),B.1.617,B.1.617.1,NULL,NULL,9
AY.72,21I (Delta),AY.72,B.1.617.2.72,Delta,Delta,225
B.1,20A,AY.46.6,B.1,NULL,NULL,1
B.1.240,20A,B.1.240,B.1.240,NULL,NULL,2
B.1.177.83,20E (EU1),B.1.177.83,B.1.177.83,NULL,NULL,3
AY.122,21J (Delta),AY.122,B.1.617.2.122,Delta,Delta,20262
AY.75.2,21I (Delta),AY.75.2,B.1.617.2.75.2,Delta,Delta,20
BA.2,21L (Omicron),BA.2.9.3,B.1.1.529.2,BA.2,Omicron,3
XG,recombinant,XG,XG,NULL,NULL,141
BA.2,21L (Omicron),BA.2.72,B.1.1.529.2,BA.2,Omicron,4
B.1.1.7,20I (Alpha; V1),B.1.1,B.1.1.7,Alpha,Alpha,65
B.1,20A,B.1.131,B.1,NULL,NULL,33
P.1,20J (Gamma; V3),P.1,B.1.1.28.1,Gamma,Gamma,68
AY.123,21J (Delta),AY.123,B.1.617.2.123,Delta,Delta,33
AY.4.8,21J (Delta),AY.4.8,B.1.617.2.4.8,Delta,Delta,17
B.1.1,20B,B.1.1.144,B.1.1,NULL,NULL,1
B.1.617.2,21J (Delta),AY.129,B.1.617.2,Delta,Delta,10
B.1.36.1,20A,B.1.36.1,B.1.36.1,NULL,NULL,32
B.1.527,20A,B.1.527,B.1.527,NULL,NULL,3
B.1,20A,C.30.1,B.1,NULL,NULL,5
BA.2.1,21L (Omicron),BA.2.1,B.1.1.529.2.1,BA.2,Omicron,7
BA.1,21K (Omicron),BA.1.14,B.1.1.529.1,BA.1,Omicron,91
Q.7,20I (Alpha; V1),Q.7,B.1.1.7.7,Alpha,Alpha,19
BA.1.16,21K (Omicron),BA.1.16,B.1.1.529.1.16,BA.1,Omicron,41
BA.1.9,21K (Omicron),BA.1.14,B.1.1.529.1.9,BA.1,Omicron,22
B.1.177.82,20E (EU1),B.1.177,B.1.177.82,NULL,NULL,4
B.1,20A,B.1.258.16,B.1,NULL,NULL,2
B.1.177,20E (EU1),B.1,B.1.177,NULL,NULL,58
BA.1.1.13,21K (Omicron),BA.1.1.13,B.1.1.529.1.1.13,BA.1,Omicron,9
AY.51,21A (Delta),AY.51,B.1.617.2.51,Delta,Delta,67
B.1.1,20B,B.1.1.7,B.1.1,NULL,NULL,3
B.1,20A,AY.4,B.1,NULL,NULL,4
B.1.617.2,21A (Delta),AY.98.1,B.1.617.2,Delta,Delta,1
AY.4.2,21J (Delta),AY.4.2.3,B.1.617.2.4.2,Delta,Delta,1
BA.2.25,21L (Omicron),BA.2.25,B.1.1.529.2.25,BA.2,Omicron,18
B.1.1.241,20B,B.1.1.241,B.1.1.241,NULL,NULL,19
AY.100,21J (Delta),AY.100,B.1.617.2.100,Delta,Delta,108
BA.1.1.10,21K (Omicron),BA.1.1.10,B.1.1.529.1.1.10,BA.1,Omicron,18
B.1.36.24,20A,B.1.36.24,B.1.36.24,NULL,NULL,12
