LineagesOfInterest,DateSampling,BatchSource,weights
BA.2,2022-01-10,Narnia,11
BA.1,2021-12-08,Middle-Earth,26
NULL,2021-03-18,Pandora,17
NULL,2021-09-01,Hogwarts,94
BA.2,2022-02-21,Gilead,48
NULL,2021-05-25,Hogwarts,133
Delta,2021-12-10,Pandora,21
BA.1,2022-01-18,Middle-Earth,33
NULL,2021-03-07,Agrabah,7
BA.1,2022-01-24,Gilead,17
NULL,2021-01-04,Hogwarts,273
Delta,2021-09-12,Wakanda,7
NULL,2021-03-25,Wakanda,4
NULL,2021-05-18,Panem,200
Delta,2021-11-08,Hogwarts,2232
BA.2,2022-01-26,Pandora,169
NULL,2021-06-02,Panem,25
NULL,2021-12-17,Pandora,37
NULL,2021-01-15,Middle-Earth,42
Alpha,2021-06-03,Gilead,4
Delta,2021-08-10,Asgard,11
NULL,2021-11-24,Pandora,9
Alpha,2020-12-28,Hogwarts,5
NULL,2021-08-31,Hogwarts,31
NULL,2021-03-24,Hogwarts,7
NULL,2022-01-11,Hogwarts,200
NULL,2020-12-27,Gilead,5
BA.2,2022-02-11,Hogwarts,1865
NULL,2020-12-07,Hogwarts,277
Delta,2021-10-06,Narnia,3
Delta,2022-01-05,Gilead,7
Delta,2021-10-16,Neverland,15
NULL,2021-08-17,Hogwarts,56
Alpha,2021-04-09,Wakanda,6
Alpha,2021-05-22,Hogwarts,438
NULL,2021-11-30,Hogwarts,210
NULL,2022-02-28,Hogwarts,117
Alpha,2021-04-04,Narnia,5
Delta,2021-09-03,Hogwarts,505
BA.2,2022-01-23,Middle-Earth,144
BA.1,2022-01-14,Gilead,22
Alpha,2021-03-16,Narnia,11
NULL,2021-06-07,Pandora,5
NULL,2021-01-18,Agrabah,4
Delta,2021-09-06,Pandora,3
Alpha,2021-07-29,Hogwarts,11
Alpha,2021-04-22,Narnia,6
NULL,2022-01-08,Middle-Earth,14
NULL,2022-02-09,Middle-Earth,10
Alpha,2021-05-09,Narnia,6
BA.1,2021-12-26,Asgard,4
NULL,2021-10-15,Narnia,4
NULL,2021-03-16,Narnia,3
Alpha,2021-04-26,Wakanda,4
Alpha,2021-01-20,Narnia,4
Delta,2021-09-27,Narnia,3
NULL,2020-11-26,Panem,374
NULL,2022-01-02,Hogwarts,748
NULL,2021-12-16,Hogwarts,337
NULL,2020-11-08,Hogwarts,46
BA.2,2022-02-07,Gilead,44
BA.2,2022-01-31,Narnia,30
NULL,2021-08-20,Asgard,3
Alpha,2021-06-13,Hogwarts,186
NULL,2021-10-08,Hogwarts,73
Delta,2021-10-29,Pandora,3
Alpha,2021-01-30,Middle-Earth,6
NULL,2020-09-07,Panem,110
BA.1,2021-12-26,Wakanda,6
Alpha,2021-04-12,Panem,326
Delta,2021-10-26,Wakanda,7
NULL,2021-01-18,Panem,952
NULL,2021-01-12,Middle-Earth,12
Alpha,2021-03-01,Agrabah,5
BA.2,2022-02-08,Wakanda,11
BA.1,2021-12-29,Gilead,23
NULL,2021-01-17,Hogwarts,83
NULL,2021-08-30,Hogwarts,58
Alpha,2021-04-03,Narnia,13
Alpha,2021-02-16,Agrabah,7
NULL,2020-12-13,Middle-Earth,24
Alpha,2021-02-11,Panem,131
NULL,2021-01-30,Middle-Earth,24
Delta,2021-06-23,Hogwarts,42
BA.2,2022-01-02,Gilead,11
BA.1,2021-12-07,Asgard,15
BA.2,2022-01-25,Wakanda,4
NULL,2021-12-10,Hogwarts,365
Alpha,2021-02-17,Gilead,4
Delta,2021-12-19,Gilead,3
BA.1,2022-02-20,Gilead,4
NULL,2022-02-26,Gilead,7
Delta,2021-09-05,Asgard,4
NULL,2021-11-07,Asgard,8
Alpha,2021-03-10,Panem,393
NULL,2022-02-10,Gilead,12
NULL,2021-02-18,Hogwarts,11
Alpha,2021-05-10,Narnia,16
Alpha,2021-04-18,Narnia,5
BA.1,2022-02-10,Pandora,11
BA.2,2022-02-11,Middle-Earth,24
Delta,2021-08-11,Narnia,9
NULL,2020-12-25,Panem,800
Alpha,2021-03-01,Panem,400
BA.2,2022-02-18,Pandora,94
NULL,2021-01-08,Middle-Earth,70
BA.1,2022-01-16,Narnia,23
Delta,2021-10-21,Narnia,15
Omicron,2022-01-20,Hogwarts,15
Alpha,2021-03-18,Agrabah,7
NULL,2022-01-12,Middle-Earth,21
Delta,2021-09-21,Hogwarts,350
NULL,2021-01-03,Middle-Earth,20
NULL,2021-06-11,Hogwarts,87
NULL,2021-01-28,Middle-Earth,34
BA.2,2022-01-19,Asgard,26
NULL,2021-11-21,Asgard,10
Alpha,2021-03-05,Hogwarts,124
Delta,2021-11-26,Middle-Earth,23
Alpha,2021-05-07,Pandora,5
NULL,2022-02-04,Hogwarts,507
Delta,2022-01-04,Narnia,6
Alpha,2021-03-24,Gilead,7
NULL,2022-02-11,Pandora,27
Gamma,2021-03-02,Pandora,4
Delta,2021-08-06,Wakanda,7
Delta,2021-06-18,Hogwarts,9
NULL,2020-12-01,Gilead,6
Delta,2021-08-06,Pandora,3
Alpha,2021-04-15,Pandora,6
NULL,2021-01-24,Pandora,11
BA.1,2022-02-21,Middle-Earth,5
Delta,2021-12-04,Pandora,9
Delta,2021-09-14,Wakanda,3
Alpha,2020-11-14,Panem,8
Delta,2021-08-15,Agrabah,4
BA.1,2022-01-03,Wakanda,4
NULL,2021-01-16,Panem,634
Delta,2021-12-25,Middle-Earth,7
Eta,2021-04-05,Hogwarts,4
NULL,2021-04-09,Hogwarts,7
NULL,2021-05-24,Panem,34
NULL,2022-01-13,Asgard,15
Alpha,2021-04-16,Agrabah,5
Alpha,2020-12-09,Panem,7
NULL,2021-04-26,Hogwarts,20
BA.1,2022-01-09,Pandora,36
NULL,2022-01-09,Gilead,13
NULL,2021-01-07,Middle-Earth,64
NULL,2021-02-04,Panem,328
NULL,2021-11-04,Pandora,3
Alpha,2021-05-14,Panem,748
NULL,2021-04-25,Panem,196
BA.1,2021-12-03,Hogwarts,40
NULL,2021-04-08,Hogwarts,105
NULL,2022-01-11,Narnia,18
NULL,2021-04-21,Hogwarts,100
BA.2,2022-02-24,Asgard,38
NULL,2021-10-24,Asgard,5
Delta,2021-11-24,Hogwarts,1891
Alpha,2021-03-31,Hogwarts,13
NULL,2022-01-22,Middle-Earth,11
Delta,2021-08-12,Wakanda,3
Delta,2021-09-14,Gilead,3
Delta,2021-10-20,Neverland,8
BA.2,2021-12-31,Middle-Earth,9
Delta,2021-11-21,Narnia,6
Delta,2021-10-27,Pandora,4
Delta,2021-10-08,Wakanda,5
Delta,2021-09-25,Wakanda,5
NULL,2021-08-05,Asgard,4
Delta,2021-08-25,Gilead,6
Delta,2021-09-14,Neverland,3
Delta,2021-09-10,Asgard,8
NULL,2021-01-13,Panem,985
BA.1,2021-12-23,Pandora,92
NULL,2022-01-31,Narnia,19
NULL,2022-01-03,Pandora,31
NULL,2022-01-03,Hogwarts,242
Delta,2021-07-10,Wakanda,3
Delta,2021-08-10,Gilead,10
BA.2,2022-01-16,Pandora,115
Alpha,2021-03-16,Hogwarts,196
NULL,2021-09-06,Hogwarts,65
NULL,2020-12-06,Middle-Earth,6
Eta,2021-03-17,Panem,39
NULL,2021-11-13,Narnia,5
NULL,2021-04-04,Hogwarts,17
Delta,2022-01-23,Hogwarts,8
NULL,2021-02-23,Pandora,6
NULL,2022-01-10,Narnia,7
Beta,2021-06-29,Hogwarts,7
Delta,2021-08-30,Gilead,7
Alpha,2021-04-30,Agrabah,4
Alpha,2020-12-21,Panem,8
NULL,2021-08-02,Asgard,5
NULL,2022-02-16,Gilead,11
Delta,2021-07-18,Gilead,5
Alpha,2021-02-08,Agrabah,4
Delta,2021-04-25,Panem,3
BA.1,2022-01-03,Hogwarts,1569
NULL,2022-01-23,Hogwarts,150
NULL,2021-12-09,Gilead,6
BA.1,2022-02-01,Pandora,29
NULL,2021-08-11,Hogwarts,58
NULL,2020-10-31,Hogwarts,52
NULL,2020-12-05,Gilead,25
NULL,2021-09-21,Hogwarts,22
Alpha,2021-04-11,Pandora,6
BA.2,2022-01-18,Pandora,211
NULL,2020-11-26,Hogwarts,193
Delta,2021-10-08,Narnia,8
BA.2,2022-01-06,Wakanda,8
NULL,2021-06-19,Hogwarts,19
Delta,2021-11-11,Gilead,21
NULL,2022-02-14,Middle-Earth,46
NULL,2022-02-17,Asgard,11
Delta,2021-07-22,Narnia,8
BA.1,2021-12-07,Hogwarts,172
Alpha,2021-04-10,Panem,464
NULL,2021-10-06,Hogwarts,64
NULL,2021-02-18,Pandora,9
Alpha,2021-02-05,Panem,111
Delta,2021-12-10,Narnia,27
NULL,2020-10-22,Middle-Earth,20
NULL,2021-05-30,Hogwarts,88
Delta,2021-09-25,Asgard,6
NULL,2021-02-25,Agrabah,6
Alpha,2021-05-20,Wakanda,3
NULL,2022-02-23,Narnia,6
NULL,2022-01-19,Wakanda,4
Delta,2020-12-26,Hogwarts,6
NULL,2022-01-01,Narnia,10
Alpha,2020-12-11,Gilead,3
BA.1,2022-02-07,Narnia,3
NULL,2021-01-28,Gilead,4
NULL,2021-03-16,Panem,307
NULL,2021-10-26,Hogwarts,77
NULL,2022-02-17,Pandora,18
NULL,2021-10-06,Narnia,3
BA.2,2022-01-02,Middle-Earth,20
Alpha,2021-07-13,Hogwarts,127
NULL,2021-11-07,Hogwarts,122
BA.1,2021-12-05,Hogwarts,142
BA.2,2022-01-07,Gilead,18
NULL,2020-12-11,Panem,927
Delta,2021-11-11,Hogwarts,1952
Delta,2021-08-18,Wakanda,5
Alpha,2021-07-20,Hogwarts,29
NULL,2021-02-26,Pandora,6
Delta,2021-10-11,Hogwarts,757
NULL,2022-02-22,Middle-Earth,32
NULL,2022-01-24,Hogwarts,364
Alpha,2021-05-14,Hogwarts,16
NULL,2021-11-26,Hogwarts,176
NULL,2020-11-04,Hogwarts,106
NULL,2022-01-07,Hogwarts,211
NULL,2020-10-23,Middle-Earth,20
Alpha,2021-05-06,Agrabah,6
Delta,2022-01-16,Hogwarts,10
NULL,2021-03-31,Hogwarts,4
Delta,2021-11-12,Neverland,3
BA.1,2022-02-10,Asgard,6
NULL,2021-11-11,Narnia,3
NULL,2021-08-16,Asgard,7
NULL,2021-02-15,Gilead,3
NULL,2021-11-09,Wakanda,5
Delta,2021-08-22,Wakanda,5
NULL,2022-01-21,Gilead,5
NULL,2020-12-16,Hogwarts,748
BA.2,2022-01-06,Narnia,4
NULL,2021-01-23,Middle-Earth,21
Alpha,2020-12-06,Panem,15
Delta,2021-11-16,Pandora,22
NULL,2022-01-21,Asgard,17
BA.2,2022-02-14,Pandora,142
NULL,2021-01-21,Narnia,18
Delta,2021-08-26,Asgard,8
BA.1,2022-01-06,Pandora,59
Alpha,2021-03-19,Panem,424
Omicron,2022-02-09,Hogwarts,4
NULL,2020-11-22,Hogwarts,93
Eta,2021-03-23,Panem,15
Delta,2021-07-16,Hogwarts,850
NULL,2022-02-19,Gilead,7
NULL,2021-11-01,Hogwarts,100
Alpha,2020-12-13,Panem,21
BA.2,2022-01-07,Asgard,8
Delta,2021-08-22,Hogwarts,744
BA.2,2022-01-17,Narnia,38
NULL,2021-12-13,Pandora,17
NULL,2021-04-12,Panem,146
Delta,2020-12-29,Hogwarts,15
NULL,2020-10-22,Panem,105
NULL,2021-06-21,Gilead,3
NULL,2021-02-10,Middle-Earth,35
NULL,2021-06-15,Hogwarts,18
BA.2,2022-02-10,Pandora,63
BA.2,2022-02-06,Middle-Earth,136
BA.2,2022-01-29,Pandora,85
Delta,2021-11-03,Pandora,6
Alpha,2021-08-16,Hogwarts,4
Alpha,2021-02-07,Middle-Earth,7
Eta,2021-03-24,Panem,10
NULL,2021-11-26,Gilead,6
NULL,2021-04-03,Narnia,3
NULL,2021-12-01,Pandora,4
NULL,2021-10-31,Asgard,13
Delta,2021-08-04,Gilead,5
BA.2,2021-12-17,Hogwarts,15
NULL,2020-12-29,Narnia,9
Delta,2021-10-02,Narnia,3
NULL,2021-11-03,Pandora,5
Alpha,2021-04-30,Narnia,7
Alpha,2021-05-19,Pandora,9
BA.1,2022-02-16,Pandora,5
Alpha,2020-12-08,Hogwarts,12
Alpha,2021-06-02,Agrabah,3
NULL,2021-12-09,Asgard,7
NULL,2022-01-13,Pandora,23
Delta,2021-11-11,Asgard,44
Alpha,2021-06-03,Asgard,4
Alpha,2021-03-10,Gilead,8
NULL,2021-01-19,Middle-Earth,10
Alpha,2021-04-11,Hogwarts,210
NULL,2020-10-28,Panem,218
Delta,2021-06-27,Gilead,3
NULL,2022-02-01,Narnia,4
Delta,2021-09-26,Wakanda,3
Alpha,2021-01-06,Hogwarts,4
BA.1,2021-12-13,Hogwarts,472
Delta,2021-09-18,Agrabah,4
NULL,2021-10-13,Hogwarts,68
NULL,2021-07-08,Hogwarts,127
NULL,2021-04-21,Narnia,5
Delta,2021-12-05,Hogwarts,4311
NULL,2020-11-27,Pandora,22
NULL,2021-08-13,Asgard,11
Delta,2021-10-05,Hogwarts,506
NULL,2021-11-04,Hogwarts,110
NULL,2022-01-06,Pandora,21
BA.2,2022-02-25,Hogwarts,2187
BA.1,2021-12-23,Middle-Earth,22
Delta,2021-12-31,Pandora,3
Alpha,2021-06-20,Hogwarts,139
Alpha,2021-06-25,Hogwarts,151
NULL,2021-08-15,Asgard,3
Delta,2021-09-14,Asgard,7
NULL,2020-09-16,Panem,110
Delta,2021-12-28,Gilead,8
Delta,2021-12-09,Middle-Earth,61
BA.1,2022-01-04,Wakanda,5
Alpha,2021-06-07,Hogwarts,926
BA.1,2021-12-01,Hogwarts,71
BA.1,2022-01-08,Hogwarts,548
BA.2,2022-02-14,Asgard,34
Delta,2021-09-03,Narnia,11
NULL,2022-01-09,Narnia,10
Delta,2021-10-28,Hogwarts,1636
NULL,2020-10-24,Panem,119
Omicron,2022-02-13,Hogwarts,10
Delta,2021-10-26,Pandora,12
Delta,2021-12-25,Wakanda,4
Delta,2021-09-01,Neverland,6
Delta,2021-11-14,Neverland,3
NULL,2021-12-03,Narnia,10
Delta,2021-07-18,Asgard,3
NULL,2021-11-13,Gilead,6
Alpha,2021-05-01,Narnia,7
Delta,2021-12-16,Wakanda,3
NULL,2022-02-16,Asgard,4
Delta,2021-10-18,Agrabah,3
NULL,2020-12-07,Middle-Earth,30
Alpha,2021-01-16,Middle-Earth,6
NULL,2022-01-17,Narnia,13
Gamma,2021-06-03,Hogwarts,3
Alpha,2021-05-13,Panem,698
Delta,2021-09-10,Narnia,8
Alpha,2021-03-02,Pandora,3
NULL,2020-10-30,Panem,114
NULL,2022-01-01,Hogwarts,109
Alpha,2021-04-13,Agrabah,4
NULL,2021-01-05,Narnia,92
Alpha,2021-03-03,Gilead,7
Delta,2021-12-12,Asgard,50
BA.2,2022-01-28,Hogwarts,1042
BA.1,2021-12-15,Hogwarts,715
NULL,2021-02-28,Hogwarts,8
Delta,2021-12-24,Hogwarts,134
BA.1,2022-02-17,Hogwarts,80
BA.2,2022-01-22,Narnia,30
NULL,2021-05-16,Hogwarts,382
NULL,2021-01-10,Hogwarts,186
NULL,2021-12-24,Narnia,3
NULL,2021-01-02,Panem,1308
Alpha,2021-02-22,Panem,437
Alpha,2021-05-17,Wakanda,4
Delta,2021-10-09,Narnia,3
NULL,2021-08-07,Asgard,6
NULL,2021-06-02,Gilead,3
Delta,2021-10-15,Asgard,7
Delta,2021-11-26,Neverland,5
Alpha,2021-04-15,Agrabah,5
Delta,2021-09-15,Asgard,4
Delta,2021-11-06,Pandora,4
BA.1,2022-01-18,Agrabah,3
NULL,2022-02-12,Narnia,15
Beta,2021-03-26,Panem,3
Alpha,2021-05-03,Agrabah,5
Delta,2022-01-19,Asgard,3
NULL,2021-06-04,Hogwarts,52
BA.2,2022-01-18,Asgard,15
NULL,2022-03-01,Narnia,18
NULL,2022-02-18,Asgard,9
Delta,2021-12-14,Narnia,19
Delta,2021-07-23,Agrabah,4
NULL,2021-05-14,Panem,183
NULL,2022-01-03,Middle-Earth,67
BA.2,2022-02-21,Hogwarts,2319
NULL,2021-09-07,Hogwarts,28
Delta,2021-09-25,Hogwarts,432
Delta,2021-12-08,Asgard,34
BA.2,2021-12-27,Hogwarts,308
Alpha,2021-07-23,Hogwarts,20
NULL,2021-03-23,Narnia,4
NULL,2021-04-10,Panem,93
BA.2,2021-12-31,Asgard,6
Eta,2021-02-26,Hogwarts,5
BA.2,2022-02-07,Middle-Earth,169
NULL,2022-02-17,Hogwarts,153
NULL,2021-12-04,Gilead,7
NULL,2021-10-02,Hogwarts,21
Delta,2021-09-09,Agrabah,3
Delta,2021-06-10,Hogwarts,9
NULL,2021-03-25,Gilead,4
NULL,2021-12-07,Middle-Earth,24
Delta,2021-08-06,Narnia,7
Alpha,2021-03-25,Agrabah,4
Alpha,2021-05-26,Hogwarts,4
Delta,2021-11-04,Pandora,7
BA.1,2022-02-11,Gilead,3
Alpha,2021-04-25,Pandora,3
NULL,2021-05-30,Narnia,3
Delta,2021-11-09,Neverland,4
NULL,2021-01-19,Agrabah,3
Delta,2022-01-21,Hogwarts,4
NULL,2021-05-20,Wakanda,3
NULL,2022-01-10,Hogwarts,158
NULL,2020-12-30,Gilead,4
NULL,2021-08-02,Hogwarts,41
BA.2,2021-12-22,Hogwarts,68
Delta,2021-12-03,Narnia,30
BA.2,2022-02-08,Gilead,25
BA.1,2022-01-14,Asgard,12
NULL,2020-12-29,Panem,419
BA.2,2022-01-04,Middle-Earth,29
BA.1,2021-12-26,Gilead,25
NULL,2022-01-15,Middle-Earth,21
Alpha,2020-12-30,Hogwarts,5
BA.2,2021-12-23,Pandora,10
BA.1,2022-02-13,Hogwarts,126
BA.1,2021-12-13,Pandora,13
BA.2,2022-01-18,Wakanda,14
NULL,2020-12-24,Gilead,6
NULL,2021-12-27,Hogwarts,381
NULL,2020-09-30,Panem,83
Eta,2021-03-17,Gilead,3
Delta,2021-12-01,Neverland,20
Alpha,2021-07-08,Hogwarts,89
Delta,2021-11-29,Middle-Earth,59
Alpha,2021-03-07,Panem,341
Alpha,2020-12-28,Panem,7
Delta,2021-04-21,Panem,4
Alpha,2020-11-27,Hogwarts,11
Alpha,2021-07-27,Hogwarts,16
BA.2,2021-12-30,Hogwarts,150
BA.2,2022-03-01,Gilead,42
BA.2,2022-01-02,Pandora,38
BA.1,2021-12-31,Gilead,15
NULL,2022-01-14,Middle-Earth,3
NULL,2021-12-14,Gilead,12
BA.1,2021-12-22,Middle-Earth,5
NULL,2020-10-29,Hogwarts,49
BA.1,2021-12-15,Gilead,10
NULL,2021-05-28,Panem,138
Delta,2021-09-08,Hogwarts,584
Delta,2021-07-10,Asgard,4
Alpha,2021-06-02,Hogwarts,713
NULL,2021-01-11,Gilead,9
Alpha,2021-05-11,Wakanda,6
NULL,2022-01-29,Middle-Earth,23
NULL,2022-01-17,Hogwarts,165
NULL,2022-02-22,Pandora,16
Delta,2021-10-03,Hogwarts,434
Delta,2021-08-30,Hogwarts,774
Alpha,2021-03-14,Hogwarts,54
Delta,2021-08-16,Narnia,11
Delta,2022-01-02,Hogwarts,296
Delta,2021-07-05,Gilead,3
NULL,2020-10-26,Panem,468
NULL,2022-02-16,Hogwarts,153
BA.2,2022-02-07,Wakanda,23
NULL,2021-02-22,Narnia,8
BA.2,2022-01-02,Wakanda,4
BA.1,2022-02-18,Asgard,3
BA.2,2022-01-17,Agrabah,3
Alpha,2021-04-24,Hogwarts,595
BA.2,2022-01-19,Pandora,167
BA.1,2021-11-26,Hogwarts,6
NULL,2021-12-28,Middle-Earth,21
NULL,2022-01-25,Asgard,38
NULL,2021-04-13,Agrabah,4
NULL,2020-11-21,Hogwarts,118
Delta,2021-11-03,Asgard,25
Alpha,2021-04-18,Agrabah,5
Delta,2022-01-09,Narnia,4
Delta,2021-05-08,Panem,3
NULL,2022-02-22,Gilead,14
Delta,2021-10-09,Hogwarts,463
NULL,2020-11-25,Panem,170
Delta,2021-08-19,Wakanda,3
Alpha,2021-02-13,Panem,149
BA.1,2021-12-26,Pandora,64
Alpha,2021-02-12,Narnia,4
Alpha,2021-06-30,Hogwarts,225
NULL,2022-01-06,Wakanda,4
Delta,2021-12-06,Middle-Earth,58
Delta,2021-08-17,Agrabah,6
Delta,2021-11-08,Asgard,40
NULL,2021-11-11,Asgard,16
Delta,2021-11-19,Wakanda,16
Delta,2022-01-22,Hogwarts,7
NULL,2021-01-01,Gilead,4
NULL,2021-01-17,Panem,632
Delta,2021-11-05,Gilead,9
NULL,2022-01-27,Pandora,28
BA.2,2022-01-01,Pandora,24
Delta,2021-11-14,Wakanda,3
Delta,2021-12-26,Middle-Earth,16
BA.1,2022-02-18,Narnia,4
NULL,2021-02-28,Panem,261
BA.2,2022-02-12,Asgard,21
BA.1,2021-12-07,Pandora,22
NULL,2021-09-04,Hogwarts,43
BA.1,2021-12-13,Narnia,21
Beta,2021-03-07,Panem,4
Alpha,2021-01-18,Narnia,6
NULL,2021-10-19,Wakanda,4
NULL,2021-03-24,Narnia,6
NULL,2021-02-26,Narnia,8
Delta,2021-10-27,Wakanda,10
Alpha,2021-01-08,Hogwarts,8
Alpha,2021-06-04,Narnia,6
Alpha,2021-07-22,Hogwarts,27
Alpha,2021-04-29,Panem,502
BA.2,2022-01-11,Hogwarts,901
NULL,2021-06-03,Hogwarts,47
Delta,2021-11-14,Gilead,8
BA.1,2022-01-01,Asgard,18
Alpha,2021-03-30,Panem,482
Delta,2021-12-03,Hogwarts,2746
NULL,2021-04-14,Panem,277
BA.1,2022-01-15,Narnia,24
NULL,2020-12-12,Middle-Earth,14
BA.1,2021-12-28,Pandora,67
Delta,2021-10-17,Neverland,7
Delta,2021-11-24,Wakanda,12
BA.1,2022-01-19,Middle-Earth,18
Delta,2021-12-22,Pandora,25
NULL,2021-06-18,Hogwarts,50
Omicron,2022-02-15,Hogwarts,7
NULL,2022-02-20,Hogwarts,144
Delta,2021-10-05,Asgard,6
NULL,2021-11-24,Narnia,5
Alpha,2020-12-03,Panem,13
Delta,2021-12-05,Asgard,3
Delta,2022-01-06,Narnia,4
Delta,2021-08-26,Pandora,10
NULL,2021-10-18,Wakanda,3
Alpha,2021-01-15,Hogwarts,4
BA.2,2022-03-01,Wakanda,13
Delta,2021-11-20,Gilead,10
Eta,2021-04-13,Panem,3
Delta,2021-10-23,Neverland,7
BA.2,2022-02-01,Asgard,6
Delta,2021-07-15,Gilead,6
NULL,2021-08-09,Asgard,3
Eta,2021-04-10,Panem,4
BA.1,2022-01-23,Pandora,38
NULL,2021-12-15,Middle-Earth,58
NULL,2021-12-10,Middle-Earth,47
Alpha,2021-06-08,Asgard,3
NULL,2021-12-24,Middle-Earth,26
NULL,2021-01-29,Narnia,11
BA.1,2022-02-24,Hogwarts,45
Delta,2021-10-28,Asgard,22
BA.2,2022-02-26,Middle-Earth,33
NULL,2021-03-04,Panem,139
Alpha,2021-04-14,Pandora,5
Delta,2021-10-27,Agrabah,11
BA.2,2022-01-09,Asgard,17
NULL,2021-05-03,Hogwarts,46
Alpha,2021-04-05,Hogwarts,229
NULL,2021-08-21,Hogwarts,48
NULL,2021-06-22,Hogwarts,33
Alpha,2020-12-26,Panem,35
Delta,2021-10-10,Narnia,5
BA.1,2022-01-08,Asgard,16
BA.1,2021-12-14,Hogwarts,414
Delta,2022-01-04,Hogwarts,28
NULL,2020-10-09,Panem,138
Delta,2021-10-15,Hogwarts,641
Alpha,2021-05-05,Wakanda,4
Delta,2021-11-12,Narnia,10
Omicron,2022-01-30,Hogwarts,14
NULL,2021-03-17,Narnia,5
NULL,2021-01-01,Pandora,4
NULL,2021-02-10,Agrabah,3
NULL,2020-09-25,Pandora,3
Delta,2021-09-30,Wakanda,4
NULL,2021-12-05,Narnia,3
BA.1,2022-01-18,Wakanda,4
NULL,2021-11-04,Asgard,6
NULL,2022-01-09,Pandora,19
NULL,2022-01-04,Pandora,22
NULL,2022-02-01,Gilead,10
NULL,2020-12-14,Gilead,60
Delta,2021-09-07,Hogwarts,604
BA.1,2022-01-22,Hogwarts,604
NULL,2021-03-14,Panem,156
Delta,2022-01-09,Hogwarts,16
NULL,2021-01-25,Middle-Earth,49
Delta,2021-11-21,Gilead,14
BA.1,2022-02-03,Pandora,26
Alpha,2021-02-20,Panem,246
NULL,2021-08-09,Hogwarts,67
NULL,2021-04-22,Panem,153
Alpha,2021-04-28,Narnia,19
BA.1,2022-01-24,Narnia,18
NULL,2021-10-25,Agrabah,3
Delta,2022-01-01,Pandora,6
Eta,2021-03-07,Panem,5
NULL,2021-12-24,Gilead,3
BA.1,2022-01-05,Wakanda,12
NULL,2021-11-20,Asgard,7
NULL,2021-03-30,Hogwarts,6
Alpha,2021-03-11,Gilead,5
NULL,2021-11-05,Pandora,3
NULL,2020-12-03,Hogwarts,285
BA.2,2022-02-02,Hogwarts,873
Delta,2021-12-28,Narnia,5
NULL,2021-11-10,Narnia,3
Delta,2022-01-07,Hogwarts,78
NULL,2020-10-21,Middle-Earth,10
Alpha,2021-04-30,Panem,540
NULL,2022-02-14,Hogwarts,155
BA.2,2022-01-20,Pandora,142
NULL,2021-02-20,Panem,206
BA.1,2022-02-11,Asgard,5
Delta,2021-10-20,Hogwarts,1351
NULL,2022-01-24,Asgard,15
BA.2,2022-02-08,Middle-Earth,139
Delta,2021-09-17,Hogwarts,413
Delta,2021-12-04,Gilead,14
Delta,2021-07-29,Asgard,29
Alpha,2021-02-24,Gilead,5
NULL,2020-12-29,Hogwarts,372
Alpha,2021-04-14,Hogwarts,47
NULL,2021-12-03,Gilead,12
NULL,2022-01-07,Narnia,14
Alpha,2021-03-18,Narnia,3
NULL,2021-11-04,Wakanda,7
NULL,2021-09-14,Asgard,4
Alpha,2021-03-25,Wakanda,3
NULL,2021-02-25,Narnia,12
BA.2,2021-12-16,Hogwarts,15
Alpha,2021-03-31,Pandora,8
BA.1,2021-12-18,Narnia,7
Delta,2021-07-23,Gilead,3
NULL,2021-12-04,Narnia,4
Delta,2021-10-23,Narnia,5
Alpha,2021-01-07,Hogwarts,6
Delta,2021-10-08,Pandora,3
NULL,2021-11-08,Narnia,3
NULL,2021-05-13,Hogwarts,3
Eta,2021-01-27,Panem,3
NULL,2021-05-02,Panem,133
NULL,2021-12-11,Middle-Earth,26
Alpha,2021-04-22,Panem,441
NULL,2021-06-24,Hogwarts,14
NULL,2021-05-10,Hogwarts,25
Delta,2020-12-31,Hogwarts,8
Alpha,2021-02-01,Middle-Earth,6
NULL,2021-02-07,Agrabah,5
BA.2,2022-01-23,Gilead,71
NULL,2021-11-06,Hogwarts,130
Alpha,2021-05-12,Gilead,4
BA.1,2022-01-04,Narnia,21
Alpha,2021-06-29,Hogwarts,214
NULL,2022-02-11,Hogwarts,95
BA.1,2022-01-09,Middle-Earth,65
Delta,2021-08-10,Hogwarts,1441
BA.2,2022-01-01,Middle-Earth,20
Delta,2021-11-06,Hogwarts,1724
NULL,2020-10-07,Middle-Earth,8
Alpha,2021-01-15,Panem,55
NULL,2021-01-29,Pandora,15
Delta,2021-11-01,Narnia,15
Delta,2022-01-01,Hogwarts,41
NULL,2021-01-08,Pandora,5
Alpha,2021-01-23,Panem,59
Alpha,2020-12-31,Panem,22
BA.1,2021-12-18,Middle-Earth,12
BA.1,2022-01-23,Narnia,18
Delta,2021-11-27,Middle-Earth,6
Delta,2021-09-21,Asgard,9
Alpha,2021-04-06,Pandora,9
Alpha,2021-04-13,Gilead,7
Delta,2021-12-26,Gilead,4
Alpha,2021-02-19,Agrabah,10
NULL,2021-09-15,Narnia,4
Alpha,2020-12-12,Hogwarts,4
BA.1,2021-12-05,Pandora,4
NULL,2022-01-21,Narnia,9
NULL,2020-12-12,Hogwarts,405
Omicron,2022-01-18,Hogwarts,10
Delta,2021-12-19,Narnia,20
Alpha,2021-03-15,Pandora,16
Alpha,2021-03-21,Agrabah,4
